,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Matches
0,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3,3,270,3.0,9,3.00,18,9,50.0,1,1,1,1,33.3,0,0,0,0,,Matches
1,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,1,0,16,0.2,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,Matches
2,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33,33,"2,970",33.0,32,0.97,115,82,75.7,18,8,7,10,30.3,8,4,1,3,20.0,Matches
3,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12,12,"1,080",12.0,30,2.50,66,36,56.1,2,2,8,3,25.0,3,1,1,1,50.0,Matches
4,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2,2,180,2.0,5,2.50,6,1,16.7,1,0,1,0,0.0,0,0,0,0,,Matches
5,Ángel,es ESP,GK,Granada,es La Liga,18,2002,1,1,90,1.0,2,2.00,9,6,88.9,0,0,1,0,0.0,2,1,1,0,50.0,Matches
6,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36,36,"3,240",36.0,48,1.33,161,114,73.9,5,13,18,9,25.0,6,6,0,0,0.0,Matches
7,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,7,6,585,6.5,8,1.23,23,15,69.6,2,2,2,2,33.3,1,1,0,0,0.0,Matches
8,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36,36,"3,240",36.0,40,1.11,118,79,72.0,15,13,8,10,27.8,9,7,1,1,12.5,Matches
9,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37,37,"3,330",37.0,54,1.46,173,118,72.8,14,7,16,6,16.2,9,7,2,0,22.2,Matches
10,Édgar Badía,es ESP,GK,Elche,es La Liga,28,1992,30,30,"2,700",30.0,46,1.53,141,92,70.9,5,11,14,5,16.7,9,5,3,1,37.5,Matches
11,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,2001,1,1,90,1.0,4,4.00,4,0,0.0,0,0,1,0,0.0,1,0,0,1,,Matches
12,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,30,1990,31,31,"2,790",31.0,51,1.65,132,81,65.9,10,8,13,6,19.4,9,6,2,1,25.0,Matches
13,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,27,1993,38,38,"3,420",38.0,53,1.39,176,123,73.9,15,7,16,9,23.7,7,7,0,0,0.0,Matches
14,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,29,1991,1,0,28,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches
15,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23,1997,38,38,"3,420",38.0,58,1.53,139,82,63.3,12,8,18,9,23.7,8,7,1,0,12.5,Matches
16,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,22,1998,9,7,745,8.3,11,1.33,42,31,76.2,4,2,1,3,42.9,1,1,0,0,0.0,Matches
17,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,25,1995,19,19,"1,637",18.2,27,1.48,61,34,57.4,7,6,6,4,21.1,1,1,0,0,0.0,Matches
18,Elias Bördner,de GER,GK,Eint Frankfurt,de Bundesliga,18,2002,1,1,90,1.0,1,1.00,6,5,83.3,1,0,0,0,0.0,0,0,0,0,,Matches
19,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,29,1991,33,33,"2,970",33.0,28,0.85,106,78,77.4,21,5,7,15,45.5,6,4,2,0,33.3,Matches
20,Claudio Bravo,cl CHI,GK,Betis,es La Liga,37,1983,20,20,"1,800",20.0,25,1.25,75,50,72.0,8,8,4,7,35.0,5,4,1,0,20.0,Matches
21,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,25,1995,1,1,90,1.0,1,1.00,9,8,88.9,1,0,0,0,0.0,0,0,0,0,,Matches
22,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,42,1978,8,8,720,8.0,5,0.62,21,15,85.7,7,1,0,3,37.5,3,2,1,0,33.3,Matches
23,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,29,1990,19,18,"1,665",18.5,30,1.62,92,62,71.7,9,2,7,4,22.2,4,4,0,0,0.0,Matches
24,Jack Butland,eng ENG,GK,Crystal Palace,eng Premier League,27,1993,1,1,90,1.0,2,2.00,5,3,60.0,1,0,0,0,0.0,0,0,0,0,,Matches
25,David Button,eng ENG,GK,West Brom,eng Premier League,31,1989,1,1,90,1.0,2,2.00,6,4,66.7,1,0,0,0,0.0,0,0,0,0,,Matches
26,Marcin Bułka,pl POL,GK,Paris S-G,fr Ligue 1,20,1999,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
27,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,38,1981,1,1,90,1.0,3,3.00,3,0,0.0,0,1,0,0,0.0,0,0,0,0,,Matches
28,Marc-Aurèle Caillard,fr FRA,GK,Metz,fr Ligue 1,26,1994,5,4,361,4.0,10,2.49,23,13,69.6,0,1,3,0,0.0,3,3,0,0,0.0,Matches
29,Cárdenas,es ESP,GK,Levante,es La Liga,23,1997,8,8,720,8.0,11,1.37,39,28,71.8,1,3,4,1,12.5,1,0,0,1,,Matches
30,Scott Carson,eng ENG,GK,Manchester City,eng Premier League,34,1985,1,1,90,1.0,3,3.00,5,1,60.0,1,0,0,0,0.0,2,1,1,0,50.0,Matches
31,Kiko Casilla,es ESP,GK,Leeds United,eng Premier League,33,1986,3,3,270,3.0,2,0.67,10,8,80.0,2,0,1,1,33.3,0,0,0,0,,Matches
32,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28,1992,32,32,"2,880",32.0,33,1.03,108,74,72.2,17,9,6,14,43.8,5,3,2,0,40.0,Matches
