,Player,Nation,Pos,Squad,Competition_Name,Age,Born,Matches_Played,Yellow_Cards,Red_Cards,Second_Yellow_Card,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Interceptions,Tackles_Won,Penalty_Kicks_Won,Penalty_Kicks_Conceded,Own_Goals,Ball_Recoveries,Aerials_Won,Aerials_Lost,Percentage_of_Aerials_Won,Matches
0,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,2,0,0,16,55,6,72,5,18,0,0,0,128,8,39,17.0,Matches
1,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,1,0,0,5,3,1,7,0,5,0,0,0,8,1,1,50.0,Matches
2,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,0,0,0,2,1,0,0,0,1,0,0,0,2,2,0,100.0,Matches
3,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,6,0,0,49,28,2,5,64,50,0,0,0,263,93,51,64.6,Matches
5,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,3,0,0,43,31,1,35,28,38,0,0,0,180,18,23,43.9,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,6,1,0,71,38,0,10,36,26,0,0,1,213,14,17,45.2,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26.0,7,1,1,28,29,0,6,34,52,0,0,0,193,8,15,34.8,Matches
8,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,2,0,0,13,7,0,5,5,6,0,0,0,37,50,21,70.4,Matches
9,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9.0,1,0,0,14,10,5,6,1,2,1,0,0,13,12,30,28.6,Matches
10,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,0,0,0,3,5,1,2,2,1,1,0,0,2,1,4,20.0,Matches
11,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,2,0,0,8,2,0,13,8,9,0,1,0,43,9,16,36.0,Matches
12,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,4,0,0,41,46,20,29,22,23,0,0,0,130,12,31,27.9,Matches
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,2,0,0,33,48,11,11,3,10,1,0,0,46,80,74,51.9,Matches
14,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
15,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,4,0,0,17,13,2,22,41,19,0,0,0,151,78,42,65.0,Matches
16,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,Matches
17,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,,Matches
18,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,10,3,0,32,34,1,147,23,36,0,1,0,141,30,18,62.5,Matches
19,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,1,0,0,38,27,14,12,4,13,0,0,0,53,61,103,37.2,Matches
20,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24.0,6,1,1,37,21,1,2,35,46,0,0,0,199,25,15,62.5,Matches
21,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,3,0,0,17,6,4,13,4,7,0,0,0,40,12,25,32.4,Matches
22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,4,0,0,17,5,3,2,26,13,0,0,0,110,59,26,69.4,Matches
23,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,2,0,0,5,0,0,0,3,3,0,0,0,11,6,5,54.5,Matches
24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,9,0,0,21,30,1,25,7,11,0,0,0,66,10,4,71.4,Matches
25,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,22,2000,15.9,2,2,0,39,47,4,18,6,10,2,1,0,61,29,41,41.4,Matches
26,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,1.6,1,0,0,4,1,1,6,1,3,0,0,0,8,1,3,25.0,Matches
27,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,17.1,4,0,0,22,22,7,21,7,6,1,1,0,68,10,25,28.6,Matches
28,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,9.1,4,0,0,18,11,6,4,1,3,0,0,0,39,17,42,28.8,Matches
29,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,26.5,5,3,0,29,6,0,2,32,49,0,1,1,248,60,36,62.5,Matches
30,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,100.0,Matches
31,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,12.2,5,0,0,30,8,1,9,27,25,0,0,0,84,31,18,63.3,Matches
32,Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1999,0.5,0,0,0,3,3,0,1,0,0,0,1,0,3,1,1,50.0,Matches
33,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,21.0,4,0,0,13,33,0,57,13,15,0,1,0,130,15,17,46.9,Matches
34,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,23.7,5,0,0,34,35,2,34,10,38,0,0,0,140,17,27,38.6,Matches
35,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,17.7,4,0,0,8,8,2,0,18,18,0,1,0,105,32,31,50.8,Matches
36,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,13.0,3,0,0,15,14,1,39,18,9,0,0,0,80,12,14,46.2,Matches
37,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,1.0,1,0,0,2,0,2,2,0,2,0,0,0,8,0,1,0.0,Matches
38,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,15.5,4,1,1,16,17,1,6,8,11,0,1,0,88,7,16,30.4,Matches
39,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,0.2,0,0,0,1,1,0,0,1,1,0,0,0,2,0,3,0.0,Matches
40,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,14.4,4,1,0,39,23,1,5,24,20,0,0,0,91,26,18,59.1,Matches
41,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,34.7,6,1,1,18,18,0,2,31,36,0,1,0,214,63,63,50.0,Matches
42,Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,9.7,5,0,0,16,16,1,35,11,13,0,1,0,62,12,10,54.5,Matches
43,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,12.0,4,0,0,15,11,3,21,9,20,0,1,1,61,14,17,45.2,Matches
44,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,18.4,3,0,0,21,15,0,4,25,34,0,0,0,121,28,17,62.2,Matches
45,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,8.5,0,0,0,5,8,0,6,7,8,0,1,0,36,15,11,57.7,Matches
46,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,8.6,1,0,0,14,8,1,0,2,4,0,0,0,21,50,33,60.2,Matches
47,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,13.5,5,0,0,23,19,5,4,1,5,0,0,0,50,91,85,51.7,Matches
48,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,25.4,2,0,0,24,12,0,6,16,25,0,0,0,136,23,34,40.4,Matches
49,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,20.8,2,0,0,12,14,1,15,20,12,0,0,0,96,36,23,61.0,Matches
50,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,25.5,5,0,0,20,18,0,70,14,16,0,0,0,127,14,15,48.3,Matches
51,Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,19,2003,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,Matches
52,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,4.5,3,0,0,7,4,1,10,3,4,0,0,0,23,2,6,25.0,Matches
53,Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,24,1997,5.0,3,0,0,7,4,0,0,12,9,0,0,0,27,6,7,46.2,Matches
54,Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,29,1992,15.1,9,2,1,31,18,0,11,13,37,0,0,0,76,16,18,47.1,Matches
55,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,21.7,11,0,0,33,19,0,8,24,44,0,0,0,131,57,45,55.9,Matches
56,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,20.4,3,0,0,9,3,0,26,14,11,0,1,0,94,11,8,57.9,Matches
57,Ángel Alarcón,es ESP,FW,Barcelona,es La Liga,18,2004,0.3,0,0,0,2,1,0,1,0,0,,,0,,,,,Matches
58,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23,1999,2.5,2,1,1,4,3,0,6,2,2,0,0,0,14,3,1,75.0,Matches
59,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,de Bundesliga,29,1992,3.7,0,0,0,9,2,5,0,2,2,0,0,0,10,21,23,47.7,Matches
60,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,15.8,6,1,1,11,4,10,91,11,18,0,0,0,118,8,15,34.8,Matches
61,Luis Alberto,es ESP,MF,Lazio,it Serie A,29,1992,27.1,4,0,0,15,13,2,147,9,29,0,0,0,162,8,13,38.1,Matches
62,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,23.5,6,0,0,17,13,1,1,14,17,0,0,0,108,38,25,60.3,Matches
63,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,32,1989,2.6,0,0,0,2,2,1,28,1,1,0,0,0,13,1,1,50.0,Matches
64,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31,1991,13.9,2,0,0,18,25,0,3,21,24,0,1,0,111,14,24,36.8,Matches
65,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,19,2002,11.4,3,0,0,16,17,2,4,1,5,0,0,0,53,7,27,20.6,Matches
66,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31,1991,22.7,11,1,1,45,33,0,44,19,31,0,1,0,159,30,29,50.8,Matches
67,Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,22.7,9,0,0,35,10,0,7,26,20,0,0,0,141,61,31,66.3,Matches
68,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,27,1995,14.6,13,1,1,38,44,2,108,5,21,0,1,0,76,25,17,59.5,Matches
69,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,4.5,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,100.0,Matches
70,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,24,1998,23.5,12,1,1,60,50,3,43,4,10,0,1,0,120,15,38,28.3,Matches
71,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,32.5,5,0,0,22,6,5,252,43,40,0,0,0,239,20,13,60.6,Matches
72,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20,2002,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,Matches
73,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23,1999,12.6,3,0,0,31,10,0,11,3,13,0,0,0,68,7,21,25.0,Matches
74,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,18,2004,6.5,1,0,0,11,12,3,30,2,10,1,0,0,34,5,15,25.0,Matches
75,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21,2001,2.0,0,0,0,8,1,2,7,1,5,0,0,0,16,2,7,22.2,Matches
76,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37.0,1,0,0,1,5,0,0,0,0,0,0,0,71,11,1,91.7,Matches
77,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,fr Ligue 1,27,1995,24.9,2,0,0,22,53,1,65,24,24,0,0,0,153,12,17,41.4,Matches
78,Dele Alli,eng ENG,MF,Everton,eng Premier League,26,1996,0.4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3,Matches
