,Player,Nationality,Position,Team,Comp_level,Age,Birth_year,Minutes_90s,Gk_goals_against,Gk_pens_goals_allowed,Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Matches
10,Édgar Badía,es ESP,GK,Elche,es La Liga,28,1992,30.0,46,5,0,3,0,52.5,0.33,+6.5,+0.22,208,453,45.9,864,144,33.0,32.7,285,58.9,41.4,444,8,1.8,31,1.03,13.9,Matches
11,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,2001,1.0,4,0,0,0,0,1.6,0.39,-2.4,-2.42,4,16,25.0,30,9,33.3,35.0,7,85.7,47.1,17,0,0.0,0,0.00,7.7,Matches
12,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,30,1990,31.0,51,6,0,4,2,49.4,0.32,+0.4,+0.01,134,407,32.9,1143,176,29.2,29.9,204,35.8,32.0,417,14,3.4,53,1.71,18.3,Matches
13,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,27,1993,38.0,53,7,1,11,0,50.8,0.25,-2.2,-0.06,91,286,31.8,919,180,21.1,27.2,300,30.7,32.4,572,24,4.2,20,0.53,13.1,Matches
14,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,29,1991,0.3,0,0,0,0,0,0.0,0.02,0.0,+0.06,5,9,55.6,7,0,71.4,43.0,4,100.0,66.5,6,0,0.0,0,0.00,9.0,Matches
15,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23,1997,38.0,58,7,0,5,1,53.5,0.33,-3.5,-0.09,143,456,31.4,712,214,37.5,35.2,269,70.3,50.9,516,19,3.7,17,0.45,11.3,Matches
16,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,22,1998,8.3,11,1,0,1,0,14.0,0.32,+3.0,+0.36,94,180,52.2,230,46,47.8,39.3,82,85.4,55.4,145,7,4.8,2,0.24,10.5,Matches
17,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,25,1995,18.2,27,1,1,2,0,22.6,0.36,-4.4,-0.24,94,269,34.9,520,79,35.2,32.7,143,60.1,43.2,234,3,1.3,14,0.77,15.7,Matches
18,Elias Bördner,de GER,GK,Eint Frankfurt,de Bundesliga,18,2002,1.0,1,0,0,0,0,0.8,0.13,-0.2,-0.21,4,17,23.5,33,9,45.5,35.3,10,20.0,25.4,14,1,7.1,2,2.00,10.3,Matches
19,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,29,1991,33.0,28,4,0,4,2,27.8,0.21,+1.8,+0.05,166,381,43.6,895,147,30.5,32.0,200,54.0,40.7,450,26,5.8,34,1.03,15.0,Matches
20,Claudio Bravo,cl CHI,GK,Betis,es La Liga,37,1983,20.0,25,4,0,0,1,24.0,0.26,0.0,0.00,117,328,35.7,518,82,47.3,38.1,129,64.3,48.5,287,11,3.8,16,0.80,13.0,Matches
21,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,25,1995,1.0,1,0,0,0,0,2.8,0.31,+1.8,+1.77,2,10,20.0,30,6,30.0,29.4,9,11.1,25.0,31,1,3.2,0,0.00,8.8,Matches
22,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,42,1978,8.0,5,2,1,0,0,5.5,0.13,+0.5,+0.07,25,62,40.3,245,45,20.4,27.4,61,19.7,25.0,122,1,0.8,9,1.13,15.2,Matches
23,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,29,1990,18.5,30,4,0,6,0,28.4,0.27,-1.6,-0.09,62,166,37.3,519,108,24.7,29.5,110,34.5,34.9,187,4,2.1,13,0.70,16.3,Matches
24,Jack Butland,eng ENG,GK,Crystal Palace,eng Premier League,27,1993,1.0,2,0,0,0,0,1.0,0.20,-1.0,-1.02,3,18,16.7,13,2,76.9,48.9,8,100.0,68.1,18,1,5.6,2,2.00,23.3,Matches
25,David Button,eng ENG,GK,West Brom,eng Premier League,31,1989,1.0,2,0,0,1,0,0.8,0.14,-1.2,-1.18,8,27,29.6,25,1,60.0,41.8,12,100.0,64.4,25,0,0.0,0,0.00,7.0,Matches
26,Marcin Bułka,pl POL,GK,Paris S-G,fr Ligue 1,20,1999,1.0,1,0,0,0,0,1.5,0.50,+0.5,+0.49,2,4,50.0,28,9,10.7,21.3,2,50.0,36.0,12,0,0.0,2,2.00,18.6,Matches
27,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,38,1981,1.0,3,0,0,1,0,1.5,0.50,-1.5,-1.49,1,3,33.3,20,2,15.0,21.6,6,0.0,19.2,9,0,0.0,3,3.00,28.0,Matches
28,Marc-Aurèle Caillard,fr FRA,GK,Metz,fr Ligue 1,26,1994,4.0,10,3,1,0,0,8.5,0.24,-1.5,-0.38,13,40,32.5,71,26,25.4,30.0,30,73.3,55.5,55,2,3.6,2,0.50,13.4,Matches
29,Cárdenas,es ESP,GK,Levante,es La Liga,23,1997,8.0,11,0,0,0,0,11.2,0.29,+0.2,+0.03,33,89,37.1,203,41,33.0,32.2,59,37.3,34.2,125,2,1.6,16,2.00,18.2,Matches
30,Scott Carson,eng ENG,GK,Manchester City,eng Premier League,34,1985,1.0,3,1,0,1,0,2.4,0.09,-0.6,-0.56,0,1,0.0,14,6,0.0,18.9,2,50.0,29.5,10,0,0.0,0,0.00,16.5,Matches
31,Kiko Casilla,es ESP,GK,Leeds United,eng Premier League,33,1986,3.0,2,0,0,0,0,3.2,0.32,+1.2,+0.41,5,14,35.7,67,20,10.4,23.2,31,22.6,24.7,30,4,13.3,1,0.33,10.8,Matches
32,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28,1992,32.0,33,3,1,2,1,32.7,0.26,+0.7,+0.02,191,462,41.3,1048,166,31.9,32.6,203,63.1,48.4,450,25,5.6,57,1.78,17.3,Matches
33,Sébastien Cibois,fr FRA,GK,Brest,fr Ligue 1,22,1998,3.0,4,1,0,0,0,3.9,0.26,-0.1,-0.04,14,36,38.9,69,12,39.1,35.8,22,40.9,37.5,51,1,2.0,3,1.00,17.4,Matches
34,Alberto Cifuentes,es ESP,GK,Cádiz,es La Liga,41,1979,2.0,3,0,0,0,0,2.9,0.48,-0.1,-0.05,22,60,36.7,53,3,84.9,54.1,15,100.0,62.9,32,0,0.0,4,2.00,27.0,Matches
35,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,31,1989,10.0,11,1,1,0,0,11.3,0.21,+0.3,+0.03,67,187,35.8,225,42,55.1,41.4,95,66.3,52.1,170,3,1.8,11,1.10,19.2,Matches
36,Simone Colombi,it ITA,GK,Parma,it Serie A,29,1991,2.0,7,1,0,2,0,4.4,0.35,-2.6,-1.28,17,30,56.7,41,6,53.7,37.5,11,72.7,49.4,27,0,0.0,0,0.00,7.5,Matches
37,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,33,1987,37.0,56,4,0,4,1,53.6,0.27,-1.4,-0.04,118,319,37.0,1114,172,24.0,27.7,240,21.7,24.1,513,26,5.1,34,0.92,15.1,Matches
38,Alex Cordaz,it ITA,GK,Crotone,it Serie A,37,1983,36.0,91,5,2,9,2,72.1,0.33,-16.9,-0.47,195,502,38.8,1134,164,33.5,31.8,306,39.9,33.2,555,18,3.2,36,1.00,15.1,Matches
39,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,36,1983,6.0,9,1,1,0,0,8.6,0.33,-0.4,-0.06,27,53,50.9,240,24,17.9,27.6,43,23.3,26.3,86,5,5.8,10,1.67,15.0,Matches
40,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33,1987,38.0,56,7,2,6,1,48.2,0.26,-6.8,-0.18,264,610,43.3,1034,144,40.0,35.3,292,67.1,47.6,560,16,2.9,30,0.79,13.2,Matches
41,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,28,1992,38.0,28,7,0,3,1,32.7,0.22,+5.7,+0.15,89,300,29.7,1086,243,20.6,29.6,235,32.3,36.6,472,26,5.5,44,1.16,15.7,Matches
42,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,26,1994,34.0,53,5,1,7,0,54.2,0.27,+1.2,+0.03,175,429,40.8,688,139,39.1,33.5,274,58.4,42.0,530,19,3.6,22,0.65,14.2,Matches
43,Gian Crespi,it ITA,GK,Crotone,it Serie A,19,2001,1.0,0,0,0,0,0,0.4,0.44,+0.4,+0.44,7,11,63.6,29,4,27.6,26.3,11,27.3,28.0,14,0,0.0,1,1.00,18.7,Matches
44,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,22,1998,3.0,10,1,0,1,0,8.6,0.38,-1.4,-0.47,4,19,21.1,59,16,27.1,29.6,27,11.1,23.7,49,3,6.1,4,1.33,11.9,Matches
45,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,29,1990,25.0,43,3,1,4,2,37.2,0.27,-3.8,-0.15,175,505,34.7,504,92,65.3,44.9,216,81.5,55.3,401,18,4.5,10,0.40,9.2,Matches
46,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,20,1999,1.5,1,1,0,0,0,1.5,0.08,+0.5,+0.32,5,15,33.3,40,13,25.0,29.1,12,41.7,36.3,24,0,0.0,3,2.00,17.8,Matches
47,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,28,1992,34.7,49,3,0,5,0,45.3,0.32,-3.7,-0.11,306,778,39.3,836,98,67.7,49.0,233,91.0,68.3,387,14,3.6,48,1.38,17.5,Matches
48,Jaume Doménech,es ESP,GK,Valencia,es La Liga,29,1990,28.0,42,4,2,5,2,36.9,0.25,-3.1,-0.11,224,477,47.0,646,103,47.1,36.6,243,71.2,49.7,485,8,1.6,20,0.71,13.4,Matches
49,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,21,1999,37.0,38,2,2,6,1,35.7,0.27,-1.3,-0.04,152,365,41.6,1021,148,27.3,29.0,207,41.5,33.7,556,29,5.2,43,1.16,14.8,Matches
50,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,22,1997,35.0,55,8,1,10,1,56.2,0.33,+2.2,+0.06,180,496,36.3,789,160,44.9,37.9,260,54.6,43.6,486,24,4.9,27,0.77,13.3,Matches
51,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,31,1989,15.0,25,6,1,3,1,20.6,0.28,-3.4,-0.22,71,188,37.8,249,44,45.4,37.1,108,69.4,46.1,204,1,0.5,6,0.40,12.1,Matches
52,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,31,1989,13.0,19,1,0,0,1,16.6,0.25,-1.4,-0.11,70,166,42.2,316,67,32.9,32.5,122,50.8,40.5,244,9,3.7,11,0.85,12.6,Matches
53,Ederson,br BRA,GK,Manchester City,eng Premier League,26,1993,36.0,28,7,0,2,1,28.6,0.23,+1.6,+0.05,108,266,40.6,967,161,20.6,28.4,153,43.8,39.3,309,19,6.1,44,1.22,16.6,Matches
54,Aarón Escandell,es ESP,GK,Granada,es La Liga,24,1995,5.0,8,0,0,0,0,10.2,0.44,+2.2,+0.44,37,111,33.3,125,13,67.2,46.5,33,81.8,60.5,65,2,3.1,11,2.20,18.0,Matches
55,Jokin Ezkieta,es ESP,GK,Athletic Club,es La Liga,23,1996,1.0,2,0,0,0,0,1.5,0.48,-0.5,-0.55,1,4,25.0,18,6,11.1,26.2,7,28.6,30.4,16,0,0.0,2,2.00,30.5,Matches
56,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,35,1985,35.0,44,3,0,4,4,40.8,0.27,+0.8,+0.02,238,609,39.1,738,154,54.9,40.4,272,75.0,51.9,516,26,5.0,15,0.43,10.8,Matches
57,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,31,1988,20.8,50,3,1,8,2,41.5,0.28,-6.5,-0.31,91,350,26.0,638,119,35.9,33.5,183,66.1,46.5,374,12,3.2,20,0.96,12.6,Matches
58,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,22,1998,1.2,3,1,0,1,0,3.5,0.36,+0.5,+0.41,3,13,23.1,19,6,52.6,39.4,9,33.3,29.6,14,0,0.0,3,2.52,21.8,Matches
59,Aitor Fernández,es ESP,GK,Levante,es La Liga,29,1991,29.0,44,3,1,6,2,36.6,0.29,-5.4,-0.19,100,281,35.6,721,153,31.8,32.8,206,25.2,28.1,396,6,1.5,54,1.86,17.7,Matches
60,Álvaro Fernández,es ESP,GK,Huesca,es La Liga,22,1998,22.0,32,2,0,7,1,30.1,0.30,-0.9,-0.04,108,276,39.1,635,114,33.4,34.1,173,37.0,37.2,281,12,4.3,23,1.05,15.4,Matches
61,Andrés Fernández,es ESP,GK,Huesca,es La Liga,33,1986,16.0,21,3,1,3,1,18.2,0.28,-1.8,-0.12,80,232,34.5,447,73,38.7,34.2,120,49.2,40.5,258,4,1.6,11,0.69,13.4,Matches
62,Marco Festa,it ITA,GK,Crotone,it Serie A,28,1992,1.0,1,0,0,0,0,0.9,0.11,-0.1,-0.10,8,13,61.5,26,9,30.8,31.1,10,50.0,36.7,20,0,0.0,1,1.00,11.5,Matches
63,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,27,1993,3.0,6,2,0,0,0,7.3,0.34,+1.3,+0.42,29,59,49.2,96,10,38.5,37.1,27,81.5,61.9,55,0,0.0,2,0.67,11.9,Matches
64,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,32,1988,8.0,11,2,0,1,0,9.8,0.23,-1.2,-0.16,30,134,22.4,207,28,44.0,35.3,64,67.2,44.2,142,6,4.2,14,1.75,15.6,Matches
65,Daniel Fuzato,br BRA,GK,Roma,it Serie A,23,1997,5.0,7,0,0,1,0,5.6,0.22,-1.4,-0.27,17,51,33.3,122,31,32.8,34.1,30,36.7,37.2,50,4,8.0,2,0.40,11.5,Matches
66,Manuel Gasparini,it ITA,GK,Udinese,it Serie A,18,2002,0.0,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,1,0,100.0,44.0,1,0.0,15.0,0,0,,0,0.00,,Matches
67,Paulo Gazzaniga,ar ARG,GK,Elche,es La Liga,28,1992,8.0,9,1,0,3,1,6.3,0.24,-1.7,-0.21,59,151,39.1,180,24,55.0,45.0,63,82.5,62.5,93,2,2.2,3,0.38,12.4,Matches
68,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,29,1990,25.5,32,4,1,5,2,28.1,0.27,-1.9,-0.08,67,174,38.5,417,88,28.1,29.7,172,33.1,29.1,310,2,0.6,28,1.10,16.8,Matches
69,Rafał Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,32,1987,34.0,54,6,0,2,3,53.2,0.26,+2.2,+0.07,193,565,34.2,1087,214,36.6,34.1,297,56.2,44.7,619,33,5.3,36,1.06,16.0,Matches
70,David Gil,es ESP,GK,Cádiz,es La Liga,26,1994,4.0,10,1,0,1,0,6.1,0.30,-3.9,-0.96,32,104,30.8,85,9,80.0,52.2,37,97.3,64.4,62,2,3.2,1,0.25,9.0,Matches
71,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,25,1995,24.0,26,4,0,3,1,24.9,0.29,-0.1,0.00,92,232,39.7,550,87,28.7,32.6,116,63.8,49.7,234,6,2.6,39,1.63,17.4,Matches
72,Alfred Gomis,sn SEN,GK,Dijon,fr Ligue 1,26,1993,5.0,10,3,0,1,1,11.8,0.29,+2.8,+0.55,29,90,32.2,122,31,39.3,36.7,65,64.6,49.2,122,7,5.7,7,1.40,12.3,Matches
73,Alfred Gomis,sn SEN,GK,Rennes,fr Ligue 1,26,1993,22.0,25,3,0,0,1,21.8,0.25,-2.2,-0.10,81,204,39.7,532,113,25.8,28.6,130,51.5,41.2,222,7,3.2,35,1.59,18.7,Matches
74,Etienne Green,eng ENG,GK,Saint-Étienne,fr Ligue 1,20,2000,8.0,8,2,1,0,0,10.9,0.28,+2.9,+0.36,46,128,35.9,149,30,51.0,38.5,69,75.4,54.9,119,5,4.2,7,0.88,14.8,Matches
75,Lennart Grill,de GER,GK,Leverkusen,de Bundesliga,21,1999,4.0,7,0,0,0,0,7.9,0.38,+0.9,+0.24,8,23,34.8,136,26,15.4,24.6,25,8.0,22.6,39,1,2.6,7,1.75,17.4,Matches
76,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,33,1987,37.0,64,3,1,9,0,50.2,0.28,-13.8,-0.37,223,651,34.3,762,156,50.5,38.5,315,84.4,56.0,604,19,3.1,24,0.65,13.3,Matches
77,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,30,1990,33.0,30,3,0,1,0,26.8,0.30,-3.2,-0.10,96,222,43.2,1003,172,19.1,27.7,168,17.9,25.7,315,15,4.8,65,1.97,19.7,Matches
78,Samir Handanović,si SVN,GK,Inter,it Serie A,36,1984,36.0,33,4,1,3,1,31.6,0.24,-0.4,-0.01,91,200,45.5,911,159,17.0,26.7,167,26.9,30.8,441,13,2.9,22,0.61,14.9,Matches
79,Dean Henderson,eng ENG,GK,Manchester Utd,eng Premier League,23,1997,12.5,12,0,0,4,0,11.2,0.23,-0.8,-0.06,19,92,20.7,230,66,28.3,30.9,94,28.7,30.0,169,9,5.3,19,1.52,17.4,Matches
80,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,27,1993,32.9,40,4,0,5,2,39.5,0.28,+1.5,+0.05,389,891,43.7,892,82,72.5,48.0,259,94.2,61.1,533,29,5.4,69,2.10,17.5,Matches
81,Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,32,1987,15.5,16,2,0,1,1,15.1,0.30,+0.1,0.00,75,155,48.4,426,71,23.9,29.1,123,43.1,39.5,176,8,4.5,8,0.52,12.1,Matches
82,Timo Horn,de GER,GK,Köln,de Bundesliga,27,1993,33.4,59,7,1,5,0,53.7,0.30,-5.3,-0.16,234,530,44.2,1110,120,39.4,35.5,221,42.1,37.1,469,14,3.0,30,0.90,15.2,Matches
83,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,30,1989,28.5,29,1,1,0,2,26.6,0.31,-0.4,-0.01,149,419,35.6,1208,179,29.7,31.5,180,33.3,32.8,322,20,6.2,58,2.04,18.2,Matches
84,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,35,1984,8.0,13,1,0,2,1,8.0,0.18,-4.0,-0.50,55,141,39.0,209,27,46.4,38.7,73,60.3,45.8,124,2,1.6,3,0.38,12.0,Matches
85,Sam Johnstone,eng ENG,GK,West Brom,eng Premier League,27,1993,37.0,74,7,2,7,3,67.2,0.26,-3.8,-0.10,293,889,33.0,994,182,63.8,45.0,296,86.1,56.8,645,20,3.1,38,1.03,14.0,Matches
86,Bingourou Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,23,1996,8.0,14,1,0,1,1,10.3,0.29,-2.7,-0.34,54,133,40.6,189,47,45.0,35.4,56,85.7,59.2,93,1,1.1,2,0.25,10.6,Matches
87,Loris Karius,de GER,GK,Union Berlin,de Bundesliga,27,1993,3.2,1,0,0,0,1,0.9,0.23,+0.9,+0.28,17,53,32.1,73,9,52.1,40.4,21,71.4,53.7,47,2,4.3,1,0.31,8.6,Matches
88,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,37,1983,24.0,31,3,1,3,0,31.0,0.31,0.0,0.00,195,404,48.3,520,81,50.2,38.9,192,74.5,53.5,349,11,3.2,11,0.46,11.9,Matches
89,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,21,1998,2.0,1,0,0,0,0,2.1,0.30,+1.1,+0.55,2,15,13.3,50,12,22.0,28.5,14,28.6,30.4,27,1,3.7,2,1.00,16.3,Matches
90,Gregor Kobel,ch SUI,GK,Stuttgart,de Bundesliga,22,1997,33.0,54,5,1,3,1,52.5,0.29,-0.5,-0.02,126,315,40.0,940,207,27.6,28.2,280,20.0,25.2,459,17,3.7,42,1.27,15.9,Matches
91,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,21,1999,38.0,55,10,2,7,1,51.2,0.24,-2.8,-0.07,199,641,31.0,864,131,50.2,39.9,257,80.5,54.8,507,23,4.5,36,0.95,14.9,Matches
92,Michael Langer,at AUT,GK,Schalke 04,de Bundesliga,35,1985,2.7,12,0,0,4,1,6.7,0.29,-4.3,-1.64,11,33,33.3,51,8,37.3,35.8,26,53.8,38.9,42,0,0.0,5,1.88,15.8,Matches
93,Gautier Larsonneur,fr FRA,GK,Brest,fr Ligue 1,23,1997,35.0,62,8,1,5,2,53.6,0.27,-6.4,-0.18,181,398,45.5,967,173,31.7,33.7,282,32.3,34.4,548,26,4.7,24,0.69,12.9,Matches
94,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,34,1985,36.8,51,10,0,5,3,42.6,0.25,-5.4,-0.15,186,494,37.7,764,141,48.7,37.5,257,47.5,39.0,480,17,3.5,29,0.79,14.3,Matches
95,Benjamin Lecomte,fr FRA,GK,Monaco,fr Ligue 1,29,1991,28.0,27,3,1,0,1,21.7,0.28,-4.3,-0.15,109,322,33.9,837,110,29.9,32.1,169,42.6,38.4,312,9,2.9,62,2.21,18.7,Matches
96,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,27,1993,32.0,45,8,2,3,1,44.7,0.29,+0.7,+0.02,342,834,41.0,708,60,78.1,50.4,297,94.6,65.1,512,31,6.1,21,0.66,11.5,Matches
97,Bernd Leno,de GER,GK,Arsenal,eng Premier League,28,1992,34.8,37,1,0,3,4,32.3,0.26,-0.7,-0.02,78,293,26.6,953,183,17.2,25.4,227,56.8,43.0,487,18,3.7,33,0.95,16.1,Matches
98,Karlo Letica,hr CRO,GK,Sampdoria,it Serie A,23,1997,1.0,0,0,0,0,0,0.2,0.22,+0.2,+0.22,1,5,20.0,29,7,13.8,25.6,5,20.0,33.6,17,0,0.0,1,1.00,11.0,Matches
99,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,33,1986,38.0,45,10,0,3,3,45.6,0.24,+3.6,+0.10,159,408,39.0,814,180,38.6,32.4,264,35.6,28.1,590,23,3.9,24,0.63,13.1,Matches
100,Niklas Lomb,de GER,GK,Leverkusen,de Bundesliga,27,1993,1.5,3,0,0,0,0,3.3,0.42,+0.3,+0.23,5,12,41.7,53,14,17.0,28.0,7,42.9,38.7,17,0,0.0,2,1.33,18.0,Matches
101,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,29,1990,38.0,43,5,2,4,2,36.3,0.23,-4.7,-0.12,150,338,44.4,934,186,25.9,30.3,249,38.6,35.6,499,10,2.0,60,1.58,18.3,Matches
102,Pau López,es ESP,GK,Roma,it Serie A,25,1994,20.2,29,3,1,4,3,25.4,0.27,-0.6,-0.03,59,166,35.5,562,107,22.6,29.2,101,38.6,35.6,174,7,4.0,30,1.49,19.2,Matches
103,Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,33,1987,30.8,42,4,0,5,1,39.8,0.27,-1.2,-0.04,180,475,37.9,927,108,37.1,34.2,215,60.9,42.8,376,18,4.8,20,0.65,13.1,Matches
104,Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,25,1995,38.0,23,1,0,7,2,28.8,0.25,+7.8,+0.21,123,393,31.3,826,194,30.3,31.6,240,59.6,48.7,490,27,5.5,44,1.16,17.2,Matches
105,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,20,1999,1.0,1,0,0,0,0,1.1,0.53,+0.1,+0.05,2,11,18.2,25,2,20.0,29.3,12,50.0,41.4,12,0,0.0,3,3.00,24.7,Matches
106,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,35,1985,37.0,45,3,1,7,1,39.0,0.29,-5.0,-0.14,143,491,29.1,1029,198,32.3,31.9,291,54.6,42.7,564,22,3.9,35,0.95,15.2,Matches
107,Niccolò Manfredini,it ITA,GK,Benevento,it Serie A,32,1988,1.0,1,0,0,1,0,0.9,0.18,-0.1,-0.08,1,5,20.0,24,9,8.3,25.6,7,42.9,36.9,19,2,10.5,3,3.00,13.0,Matches
108,Vito Mannone,it ITA,GK,Monaco,fr Ligue 1,32,1988,9.0,14,2,0,1,0,12.7,0.33,-1.3,-0.15,43,120,35.8,226,24,33.6,32.9,61,72.1,52.8,92,1,1.1,10,1.11,21.5,Matches
