,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Tocuhes_Live_Balls,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Carries,Total_Distance,Progressive_Distance_Carried,Progressive_Carries,1/3_Carries,Carries_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Progressive_Passes_Received,Matches
466,Irvin Cardona,fr FRA,"MF,FW",Augsburg,de Bundesliga,24,1997,3.5,120,7,16,40,64,16,120,7,4,57.1,3,42.9,68,359,222,9,6,1,13,4,72,17,Matches
467,Igor Carioca,br BRA,DF,Lorient,fr Ligue 1,25,1996,5.1,348,19,115,162,74,8,348,15,6,40.0,7,46.7,227,1269,662,8,13,1,8,1,200,23,Matches
468,Carlos,br BRA,DF,Monza,it Serie A,23,1999,34.3,2073,111,676,917,498,71,2073,61,33,54.1,24,39.3,1032,5925,3073,87,62,15,45,28,1267,151,Matches
469,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,29,1993,2.3,156,11,54,94,11,4,156,0,0,,0,,100,348,193,1,3,0,2,0,111,0,Matches
470,Juan Carlos,es ESP,GK,Girona,es La Liga,34,1988,10.0,356,324,355,1,0,0,356,0,0,,0,,212,903,476,0,0,0,0,0,188,0,Matches
471,José Carlos Lazo,es ESP,"MF,FW",Almería,es La Liga,26,1996,0.2,8,0,1,2,5,1,8,1,1,100.0,0,0.0,7,44,9,0,0,0,2,0,7,3,Matches
472,José Carlos Lazo,es ESP,"MF,FW",Espanyol,es La Liga,26,1996,1.8,70,6,24,14,32,4,70,5,1,20.0,4,80.0,34,215,103,2,5,0,3,4,33,10,Matches
473,Carmona,es ESP,"MF,DF",Elche,es La Liga,20,2002,6.5,265,20,83,93,92,14,265,20,9,45.0,8,40.0,143,814,338,8,10,6,12,4,116,27,Matches
474,Carmona,es ESP,DF,Sevilla,es La Liga,20,2002,5.9,400,33,147,196,60,6,400,6,2,33.3,3,50.0,227,935,526,9,11,2,11,2,249,8,Matches
475,Marco Carnesecchi,it ITA,GK,Cremonese,it Serie A,22,2000,27.0,1036,906,1036,0,0,0,1036,0,0,,0,,568,2965,1600,0,0,0,0,0,407,0,Matches
476,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,es La Liga,28,1993,25.7,1404,32,230,456,745,160,1403,124,60,48.4,51,41.1,822,6278,3577,146,58,71,52,34,922,264,Matches
477,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,30,1992,19.8,1512,85,412,580,526,39,1512,17,9,52.9,5,29.4,864,3105,1547,22,30,3,23,7,1049,147,Matches
478,Fabio Carvalho,pt POR,"MF,FW",Liverpool,eng Premier League,19,2002,3.9,193,2,31,75,91,26,193,6,2,33.3,3,50.0,122,568,255,9,9,2,11,15,145,26,Matches
479,Matis Carvalho,pt POR,GK,Montpellier,fr Ligue 1,23,1999,1.5,56,44,56,0,0,0,56,0,0,,0,,32,211,112,0,0,0,0,0,19,0,Matches
480,William Carvalho,pt POR,MF,Betis,es La Liga,30,1992,27.1,1979,40,303,1323,370,37,1979,52,29,55.8,17,32.7,1276,5717,2667,46,43,7,23,27,1591,52,Matches
481,Nicolò Casale,it ITA,DF,Lazio,it Serie A,24,1998,27.1,1803,215,871,917,27,14,1803,3,1,33.3,2,66.7,1102,6813,3784,11,3,0,5,1,1246,3,Matches
482,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,30,1992,23.6,1758,110,531,949,293,24,1758,20,9,45.0,8,40.0,850,2828,1404,14,17,1,18,14,1103,34,Matches
483,Casemiro,br BRA,MF,Real Madrid,es La Liga,30,1992,0.1,11,1,3,8,0,0,11,0,0,,0,,7,20,6,0,0,0,1,0,7,0,Matches
484,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,24,1997,20.2,1215,76,423,545,258,11,1215,33,16,48.5,9,27.3,610,3143,1677,42,33,4,24,7,652,57,Matches
485,Tommaso Cassandro,it ITA,DF,Lecce,it Serie A,22,2000,0.1,8,1,4,3,1,0,8,0,0,,0,,2,5,4,0,0,0,0,0,3,0,Matches
486,Timothy Castagne,be BEL,DF,Leicester City,eng Premier League,26,1995,36.2,2237,158,820,920,508,52,2237,30,11,36.7,14,46.7,989,4010,1994,39,23,5,32,17,1246,149,Matches
487,Michele Castagnetti,it ITA,MF,Cremonese,it Serie A,32,1989,15.7,941,33,209,560,184,9,941,12,8,66.7,3,25.0,449,1871,970,14,11,0,15,3,551,10,Matches
488,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,30,1992,34.0,1653,1196,1636,17,1,1,1653,0,0,,0,,1030,4948,2681,0,1,1,0,0,884,0,Matches
489,Valentín Castellanos,ar ARG,FW,Girona,es La Liga,23,1998,28.9,672,28,65,278,343,123,671,43,14,32.6,21,48.8,361,1903,923,30,27,11,46,22,478,128,Matches
490,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,27,1995,28.5,1650,164,691,876,89,24,1650,18,11,61.1,5,27.8,1112,5790,3067,19,22,0,20,7,959,20,Matches
491,Samu Castillejo,es ESP,"FW,MF",Valencia,es La Liga,27,1995,15.1,840,2,81,345,422,49,840,65,23,35.4,33,50.8,561,3278,1701,54,41,11,43,28,604,115,Matches
492,Jonny Castro,es ESP,DF,Wolves,eng Premier League,28,1994,14.0,1004,53,343,444,227,13,1004,32,14,43.8,15,46.9,499,2623,1495,24,18,4,16,13,600,46,Matches
493,Gaetano Castrovilli,it ITA,MF,Fiorentina,it Serie A,25,1997,8.0,324,15,56,148,127,22,324,16,7,43.8,5,31.3,176,1019,467,12,13,0,11,9,200,16,Matches
494,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,27,1994,21.3,1487,80,370,954,174,0,1487,18,6,33.3,8,44.4,752,2871,1108,8,9,0,7,8,1044,14,Matches
495,Catena,es ESP,DF,Rayo Vallecano,es La Liga,27,1994,34.5,2120,282,1160,930,41,24,2120,2,2,100.0,0,0.0,1220,5620,2913,8,5,0,11,6,1348,2,Matches
496,Yoann Cathline,fr FRA,"FW,MF",Lorient,fr Ligue 1,20,2002,12.1,548,16,122,169,267,29,548,63,23,36.5,31,49.2,410,2896,1414,46,30,10,38,27,369,106,Matches
497,Maximiliano Caufriez,be BEL,DF,Clermont Foot,fr Ligue 1,25,1997,24.7,1367,206,688,595,93,14,1367,13,5,38.5,6,46.2,1006,6727,3440,33,35,1,14,7,873,13,Matches
498,Edinson Cavani,uy URU,FW,Valencia,es La Liga,35,1987,16.1,476,13,54,217,208,54,473,10,4,40.0,5,50.0,230,904,316,8,7,3,30,9,356,53,Matches
499,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,25,1996,17.4,1690,29,258,986,465,34,1690,66,40,60.6,22,33.3,1243,6885,3318,60,52,7,19,26,1366,60,Matches
500,Pietro Ceccaroni,it ITA,DF,Lecce,it Serie A,26,1995,0.5,22,4,9,10,3,1,22,0,0,,0,,7,30,16,0,0,0,0,0,7,1,Matches
501,Federico Ceccherini,it ITA,DF,Hellas Verona,it Serie A,30,1992,15.7,780,86,308,386,96,15,780,3,2,66.7,1,33.3,368,1928,1123,25,14,2,13,8,409,20,Matches
502,Assan Ceesay,gm GAM,FW,Lecce,it Serie A,28,1994,20.1,642,28,69,270,311,71,641,36,22,61.1,12,33.3,304,1456,590,21,15,8,64,25,417,111,Matches
503,Emil Ceide,no NOR,FW,Sassuolo,it Serie A,20,2001,5.7,233,1,30,80,124,39,233,25,8,32.0,14,56.0,160,1103,709,37,13,23,15,8,182,47,Matches
504,Zeki Çelik,tr TUR,DF,Roma,it Serie A,25,1997,16.7,1102,43,350,491,276,18,1102,16,6,37.5,10,62.5,522,2709,1444,34,31,6,17,13,604,76,Matches
505,Álex Centelles,es ESP,DF,Almería,es La Liga,24,1997,12.5,686,55,269,244,180,7,686,14,6,42.9,7,50.0,341,1561,854,17,11,1,11,6,368,48,Matches
506,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,26,1996,18.8,1217,87,331,564,332,13,1217,66,38,57.6,22,33.3,757,4676,2055,42,39,5,25,11,671,125,Matches
507,Michele Cerofolini,it ITA,GK,Fiorentina,it Serie A,23,1999,5.0,202,165,201,1,0,0,202,0,0,,0,,123,615,370,0,0,0,0,0,121,0,Matches
508,Franco Cervi,ar ARG,"MF,DF",Celta Vigo,es La Liga,28,1994,21.0,1143,16,219,496,437,50,1143,51,21,41.2,22,43.1,637,3430,1526,45,38,8,30,16,650,113,Matches
509,Julian Chabot,de GER,DF,Köln,de Bundesliga,24,1998,20.0,1434,228,831,572,35,17,1434,8,4,50.0,1,12.5,765,3090,1438,5,6,1,4,2,825,2,Matches
510,Florian Chabrolle,fr FRA,MF,Ajaccio,fr Ligue 1,24,1998,3.7,170,6,20,113,39,0,170,1,0,0.0,1,100.0,121,567,236,1,4,0,5,4,108,8,Matches
511,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,fr Ligue 1,17,2005,6.5,515,56,214,283,21,2,515,2,1,50.0,1,50.0,428,1642,610,1,3,0,2,2,396,8,Matches
512,Fares Chaïbi,dz ALG,"FW,MF",Toulouse,fr Ligue 1,19,2002,26.0,1314,48,194,606,531,86,1314,36,12,33.3,21,58.3,997,5316,2412,71,41,18,54,24,970,212,Matches
513,Nathaniel Chalobah,eng ENG,MF,Fulham,eng Premier League,27,1994,0.1,11,4,5,3,3,1,11,0,0,,0,,6,16,8,0,1,0,1,1,8,0,Matches
514,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,23,1999,17.9,1369,135,602,604,167,23,1369,10,8,80.0,1,10.0,784,2679,1393,17,13,1,6,5,973,27,Matches
515,Muhammed Cham,at AUT,MF,Clermont Foot,fr Ligue 1,21,2000,21.9,1268,12,148,614,527,61,1266,65,31,47.7,26,40.0,1010,6125,2895,71,74,11,39,56,967,120,Matches
516,Calum Chambers,eng ENG,"DF,MF",Aston Villa,eng Premier League,27,1995,3.9,245,30,119,96,32,2,245,0,0,,0,,139,794,540,6,4,0,2,1,149,2,Matches
517,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,32,1990,1.0,71,2,14,32,25,2,71,4,1,25.0,3,75.0,28,99,59,2,0,1,2,0,37,6,Matches
518,Gaëtan Charbonnier,fr FRA,"FW,MF",Auxerre,fr Ligue 1,33,1988,2.8,120,5,11,67,43,14,120,4,2,50.0,1,25.0,91,433,139,2,3,0,8,6,92,18,Matches
519,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,27,1994,27.7,1587,175,836,707,55,27,1587,3,3,100.0,0,0.0,1072,5655,3006,9,5,0,7,4,949,7,Matches
520,Shea Charles,nir NIR,DF,Manchester City,eng Premier League,18,2003,0.3,32,5,14,18,0,0,32,0,0,,0,,20,116,43,1,0,0,0,1,19,0,Matches
521,Xavier Chavalerin,fr FRA,MF,Troyes,fr Ligue 1,31,1991,27.0,1337,72,427,677,240,38,1337,17,9,52.9,5,29.4,939,4366,1543,18,21,5,24,12,840,49,Matches
522,Pep Chavarría,es ESP,"FW,MF",Rayo Vallecano,es La Liga,24,1998,4.1,229,8,37,75,120,8,229,16,7,43.8,8,50.0,113,658,365,13,6,1,7,4,122,25,Matches
523,Ivane Chegra,fr FRA,"MF,FW",Ajaccio,fr Ligue 1,18,2004,2.1,67,0,17,30,22,1,67,8,3,37.5,4,50.0,44,355,159,7,2,1,7,5,38,5,Matches
524,Pape Cheikh Diop,sn SEN,MF,Elche,es La Liga,24,1997,0.4,20,2,7,13,0,0,20,1,0,0.0,1,100.0,13,67,26,0,0,0,0,1,14,0,Matches
525,Rayan Cherki,fr FRA,"MF,FW",Lyon,fr Ligue 1,18,2003,20.8,1364,3,83,552,758,141,1364,157,79,50.3,65,41.4,1145,8325,4182,133,91,61,63,49,1107,260,Matches
526,Ilyes Cheti,dz ALG,DF,Angers,fr Ligue 1,27,1995,2.3,150,14,62,67,22,1,150,2,0,0.0,2,100.0,99,535,205,2,1,0,5,1,79,7,Matches
527,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,20,2001,32.0,1060,832,1057,3,0,0,1060,0,0,,0,,858,4458,2988,0,0,0,1,0,638,0,Matches
528,Fabio Chiarodia,it ITA,DF,Werder Bremen,de Bundesliga,17,2005,0.7,29,6,16,11,2,1,29,0,0,,0,,9,44,13,0,0,0,0,0,12,0,Matches
529,Federico Chiesa,it ITA,"DF,MF",Juventus,it Serie A,24,1997,9.5,476,4,56,166,265,49,476,45,24,53.3,19,42.2,293,2176,1193,46,28,16,26,19,331,88,Matches
530,Ben Chilwell,eng ENG,"DF,MF",Chelsea,eng Premier League,25,1996,15.6,1133,23,284,426,426,36,1133,23,8,34.8,12,52.2,629,3401,1852,43,36,8,25,18,722,131,Matches
531,Vlad Chiricheș,ro ROU,DF,Cremonese,it Serie A,32,1989,10.9,554,120,358,194,6,2,554,4,3,75.0,0,0.0,250,1290,664,2,2,0,2,4,280,1,Matches
532,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,25,1997,22.5,1494,22,225,1071,206,10,1494,15,8,53.3,6,40.0,1196,5875,2375,15,18,1,5,6,1103,22,Matches
533,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,20,2001,27.3,1339,98,409,765,178,14,1339,26,13,50.0,9,34.6,879,4089,1539,8,15,2,20,12,754,28,Matches
534,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,26,1996,19.6,1652,127,645,962,50,13,1652,2,0,0.0,2,100.0,1170,5841,3232,18,15,0,10,1,1257,5,Matches
535,Oliver Christensen,dk DEN,GK,Hertha BSC,de Bundesliga,23,1999,33.0,1306,1001,1294,12,0,0,1306,2,1,50.0,1,50.0,709,3902,2090,0,0,0,1,1,542,0,Matches
536,Ryan Christie,sct SCO,"MF,FW",Bournemouth,eng Premier League,27,1995,20.4,940,39,187,421,350,61,940,86,37,43.0,42,48.8,559,3396,1462,39,34,13,49,33,592,71,Matches
537,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,eng Premier League,18,2003,3.9,262,5,47,106,112,17,262,11,6,54.5,5,45.5,154,1165,718,21,14,3,11,3,184,21,Matches
538,Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,es La Liga,23,1999,26.0,1241,15,131,437,696,143,1241,178,86,48.3,76,42.7,876,6197,3639,133,63,71,66,29,974,261,Matches
539,Darko Churlinov,mk MKD,FW,Stuttgart,de Bundesliga,22,2000,0.3,5,1,2,3,0,0,5,0,0,,0,,1,1,0,0,0,0,1,1,1,0,Matches
540,Víctor Chust,es ESP,DF,Cádiz,es La Liga,22,2000,10.7,533,71,291,237,13,6,533,3,1,33.3,2,66.7,246,1462,718,4,2,1,2,1,305,2,Matches
541,Tolga Ciğerci,tr TUR,MF,Hertha BSC,de Bundesliga,30,1992,7.5,498,17,128,293,81,0,498,10,5,50.0,4,40.0,194,788,281,3,4,0,10,6,267,2,Matches
542,Yanis Cimignani,fr FRA,"MF,DF",Ajaccio,fr Ligue 1,20,2002,3.1,148,5,23,64,61,2,148,6,2,33.3,4,66.7,91,471,197,3,8,0,4,5,87,17,Matches
543,Daniel Ciofani,it ITA,FW,Cremonese,it Serie A,37,1985,11.8,307,14,25,119,163,51,303,4,0,0.0,4,100.0,152,434,149,5,11,1,24,10,217,36,Matches
544,Tio Cipot,si SVN,"FW,MF",Spezia,it Serie A,19,2003,1.5,83,2,16,32,42,5,83,7,3,42.9,4,57.1,47,311,157,5,4,1,5,6,54,17,Matches
545,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,es La Liga,28,1994,14.2,891,57,243,543,114,19,891,11,5,45.5,5,45.5,480,2279,1032,10,16,1,14,13,518,5,Matches
546,Souleymane Cissé,fr FRA,DF,Clermont Foot,fr Ligue 1,19,2002,0.4,19,4,11,6,2,1,19,1,0,0.0,1,100.0,13,61,7,0,0,0,1,1,10,1,Matches
547,Patrick Ciurria,it ITA,"DF,MF",Monza,it Serie A,27,1995,30.6,1604,46,396,694,534,51,1604,54,18,33.3,28,51.9,877,5018,2362,67,48,9,47,16,1062,168,Matches
548,Bobby Clark,eng ENG,MF,Liverpool,eng Premier League,17,2005,0.1,7,0,0,0,7,1,7,1,0,0.0,1,100.0,3,3,0,0,0,0,2,0,3,2,Matches
549,Alexis Claude-Maurice,fr FRA,FW,Nice,fr Ligue 1,24,1998,0.7,39,4,9,18,12,0,39,0,0,,0,,24,129,34,0,1,0,3,2,25,1,Matches
550,Alexis Claude-Maurice,fr FRA,"MF,FW",Lens,fr Ligue 1,24,1998,6.7,332,7,44,168,124,27,332,30,12,40.0,14,46.7,259,1533,580,11,6,7,18,13,263,43,Matches
551,Jonathan Clauss,fr FRA,DF,Marseille,fr Ligue 1,29,1992,28.8,1757,57,326,737,720,114,1757,63,32,50.8,27,42.9,1215,6722,3314,83,51,22,47,16,1081,240,Matches
552,Carlos Clerc,es ESP,"DF,MF",Elche,es La Liga,30,1992,29.3,1714,131,596,761,370,25,1714,56,26,46.4,23,41.1,884,4694,2204,51,40,2,28,10,950,91,Matches
553,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,31,1991,18.2,971,44,313,475,186,3,971,12,5,41.7,5,41.7,423,1778,896,14,10,1,12,3,531,29,Matches
554,Conor Coady,eng ENG,DF,Everton,eng Premier League,29,1993,23.3,1363,238,795,547,29,10,1363,3,0,0.0,2,66.7,882,4154,2414,4,4,0,6,2,984,1,Matches
555,Nicolò Cocetta,it ITA,DF,Udinese,it Serie A,18,2003,0.4,14,4,8,6,0,0,14,0,0,,0,,6,17,4,0,0,0,0,0,6,0,Matches
556,Marcus Coco,fr FRA,"FW,MF",Nantes,fr Ligue 1,26,1996,7.1,347,13,74,152,131,22,347,15,7,46.7,8,53.3,232,1445,733,23,9,4,17,11,210,56,Matches
557,Alexandre Coeff,fr FRA,DF,Auxerre,fr Ligue 1,30,1992,6.5,428,62,224,176,31,1,428,2,0,0.0,2,100.0,309,1699,762,3,4,0,3,3,290,9,Matches
558,Jack Colback,eng ENG,MF,Nott'ham Forest,eng Premier League,32,1989,5.5,189,16,65,100,27,1,189,4,3,75.0,0,0.0,75,404,210,5,5,0,5,1,88,3,Matches
559,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,33,1988,18.4,990,81,334,416,246,21,990,36,16,44.4,15,41.7,457,2049,925,13,10,3,30,6,481,37,Matches
560,David Čolina,hr CRO,"DF,FW",Augsburg,de Bundesliga,22,2000,1.8,109,7,28,51,34,2,109,13,4,30.8,7,53.8,45,223,104,2,4,0,5,2,33,7,Matches
561,Álex Collado,es ESP,MF,Elche,es La Liga,23,1999,8.1,442,10,58,202,189,19,442,31,15,48.4,15,48.4,294,2052,943,24,23,6,16,9,334,43,Matches
562,Diego Collado,es ESP,FW,Villarreal,es La Liga,21,2001,0.1,8,0,0,2,6,1,8,0,0,,0,,3,9,4,0,0,0,0,0,6,3,Matches
563,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,29,1992,15.4,860,107,451,390,20,9,860,2,2,100.0,0,0.0,511,2142,1020,3,1,0,4,2,517,2,Matches
564,Nathan Collins,ie IRL,DF,Wolves,eng Premier League,21,2001,20.2,1339,208,801,500,45,13,1339,8,7,87.5,0,0.0,724,3470,1799,11,9,2,9,8,922,5,Matches
565,Lorenzo Colombo,it ITA,FW,Lecce,it Serie A,20,2002,16.8,588,6,24,266,304,74,586,37,11,29.7,22,59.5,307,1330,408,14,12,6,79,38,418,119,Matches
566,Andrea Colpani,it ITA,MF,Monza,it Serie A,23,1999,10.5,538,8,55,267,232,31,538,41,20,48.8,13,31.7,371,2327,1110,31,32,8,22,17,412,69,Matches
567,Levi Colwill,eng ENG,DF,Brighton,eng Premier League,19,2003,13.6,1263,144,569,646,51,11,1263,1,1,100.0,0,0.0,845,4646,2952,16,10,0,7,4,921,3,Matches
568,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,26,1996,15.7,1006,9,75,334,615,94,1006,92,47,51.1,33,35.9,723,4737,2554,98,49,44,48,20,808,296,Matches
569,Eray Cömert,ch SUI,DF,Valencia,es La Liga,24,1998,18.6,1129,162,598,510,33,10,1129,2,2,100.0,0,0.0,680,3720,2119,6,9,1,1,0,691,1,Matches
570,Santi Comesaña,es ESP,MF,Rayo Vallecano,es La Liga,25,1996,27.2,1544,34,229,927,405,58,1544,58,35,60.3,18,31.0,830,4235,2292,40,43,8,38,34,1010,58,Matches
571,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,35,1987,35.0,1480,1194,1468,11,1,0,1480,0,0,,0,,873,4354,2708,0,0,0,1,0,761,0,Matches
572,Abdu Conté,pt POR,DF,Troyes,fr Ligue 1,24,1998,14.6,869,48,285,385,206,19,869,17,2,11.8,14,82.4,591,3294,1623,32,21,6,9,6,542,91,Matches
573,Andrea Conti,it ITA,DF,Sampdoria,it Serie A,28,1994,0.3,11,0,0,8,3,0,11,0,0,,0,,4,10,5,0,0,0,0,1,6,2,Matches
574,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,25,1997,19.1,935,67,290,472,184,9,935,19,7,36.8,10,52.6,426,2198,819,9,18,1,15,16,517,10,Matches
575,Steve Cook,eng ENG,DF,Nott'ham Forest,eng Premier League,31,1991,10.6,559,100,321,220,19,10,559,1,1,100.0,0,0.0,284,1293,577,1,3,0,3,2,350,0,Matches
576,Liam Cooper,sct SCO,DF,Leeds United,eng Premier League,30,1991,15.8,970,103,499,440,37,21,970,4,1,25.0,1,25.0,477,2172,913,3,3,1,9,1,501,2,Matches
577,Copete,es ESP,DF,Mallorca,es La Liga,22,1999,24.5,1166,155,575,538,67,17,1166,21,19,90.5,2,9.5,591,2474,1444,14,13,1,10,6,633,3,Matches
578,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,18,2003,13.1,693,66,337,302,61,9,693,4,2,50.0,2,50.0,312,1618,787,9,9,0,8,2,320,8,Matches
579,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,31,1991,8.3,391,17,63,224,107,18,391,6,2,33.3,2,33.3,200,885,399,11,11,1,18,14,286,27,Matches
580,Sébastien Corchia,fr FRA,DF,Nantes,fr Ligue 1,31,1990,8.7,468,27,116,200,162,10,468,11,3,27.3,2,18.2,288,1550,639,21,10,4,14,7,251,65,Matches
581,Alex Cordaz,it ITA,GK,Inter,it Serie A,39,1983,0.3,21,19,21,0,0,0,21,0,0,,0,,13,42,14,0,0,0,0,0,11,0,Matches
582,Maxwel Cornet,ci CIV,FW,West Ham,eng Premier League,25,1996,2.7,140,3,18,50,72,11,140,5,2,40.0,3,60.0,83,310,140,9,2,5,9,5,103,26,Matches
583,Jesús Corona,mx MEX,FW,Sevilla,es La Liga,29,1993,1.2,58,1,10,22,27,7,58,7,3,42.9,4,57.1,44,219,109,3,3,1,5,2,47,9,Matches
584,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,27,1995,16.2,738,11,84,283,379,119,738,59,23,39.0,33,55.9,472,2244,971,44,20,24,58,31,568,142,Matches
585,Joaquín Correa,ar ARG,FW,Inter,it Serie A,27,1994,10.6,384,2,25,183,183,37,384,32,14,43.8,13,40.6,260,1515,646,19,13,9,29,16,301,61,Matches
586,Thierry Correia,pt POR,DF,Valencia,es La Liga,23,1999,22.3,1616,77,491,687,457,23,1616,34,13,38.2,15,44.1,861,4434,2538,60,46,9,36,11,954,122,Matches
587,Alessandro Cortinovis,it ITA,MF,Hellas Verona,it Serie A,21,2001,0.1,8,0,3,0,5,0,8,0,0,,0,,5,10,4,0,0,0,0,0,5,2,Matches
588,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,29,1993,13.7,767,29,164,362,246,24,767,28,11,39.3,16,57.1,346,1874,913,32,19,11,25,11,386,74,Matches
589,David Pereira da Costa,pt POR,"MF,FW",Lens,fr Ligue 1,21,2001,15.6,906,5,58,441,419,45,906,48,27,56.3,16,33.3,773,5249,2537,61,73,9,32,28,736,133,Matches
590,Diego Costa,es ESP,FW,Wolves,eng Premier League,33,1988,13.8,335,19,37,140,161,59,335,10,5,50.0,5,50.0,180,1019,342,19,9,11,23,26,245,60,Matches
591,Jaume Costa,es ESP,DF,Mallorca,es La Liga,34,1988,28.9,1364,62,360,603,415,37,1364,25,10,40.0,12,48.0,689,3495,1980,60,38,10,23,8,810,123,Matches
592,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,21,2001,4.6,280,40,150,119,15,8,280,3,1,33.3,1,33.3,207,1138,632,5,3,1,5,0,186,0,Matches
593,Nuno da Costa,cv CPV,"FW,MF",Auxerre,fr Ligue 1,31,1991,22.3,728,20,86,334,324,78,728,109,46,42.2,47,43.1,489,3344,1069,30,18,15,92,40,495,130,Matches
594,Samu Costa,pt POR,MF,Almería,es La Liga,21,2000,22.1,1395,96,478,774,153,16,1395,22,9,40.9,12,54.5,717,2783,1113,9,8,1,31,13,856,24,Matches
595,Benoît Costil,fr FRA,GK,Auxerre,fr Ligue 1,35,1987,19.0,638,531,635,3,0,0,638,1,1,100.0,0,0.0,377,1899,975,0,0,0,0,0,254,0,Matches
596,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,29,1992,23.7,1433,104,435,580,424,21,1433,17,3,17.6,6,35.3,578,3284,1710,53,33,2,25,21,665,109,Matches
597,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,26,1996,32.1,1540,86,399,933,245,17,1540,93,48,51.6,39,41.9,917,5811,2571,52,39,7,61,33,962,59,Matches
598,Soumaïla Coulibaly,fr FRA,DF,Dortmund,de Bundesliga,18,2003,0.5,48,1,7,40,1,0,48,0,0,,0,,40,200,91,0,0,0,0,0,43,0,Matches
599,Tanguy Coulibaly,fr FRA,"FW,DF",Stuttgart,de Bundesliga,21,2001,3.6,206,2,30,81,101,17,205,22,11,50.0,11,50.0,126,811,415,14,9,5,7,9,123,38,Matches
600,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,30,1992,31.0,1209,1020,1205,5,0,0,1209,2,2,100.0,0,0.0,824,4223,2619,0,0,0,2,0,704,0,Matches
601,Mathieu Coutadeur,fr FRA,MF,Ajaccio,fr Ligue 1,36,1986,21.6,1329,44,260,902,176,4,1329,14,5,35.7,6,42.9,979,4749,2011,20,14,2,19,8,889,22,Matches
602,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,eng Premier League,30,1992,8.8,500,2,34,259,213,24,500,34,14,41.2,15,44.1,309,1747,739,18,28,5,23,17,369,68,Matches
603,Yan Couto,br BRA,"DF,MF",Girona,es La Liga,20,2002,12.9,734,20,184,295,266,20,734,60,28,46.7,27,45.0,447,3355,1826,56,31,12,26,13,482,89,Matches
604,Conor Coventry,ie IRL,"MF,FW",West Ham,eng Premier League,22,2000,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
605,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,23,1999,14.2,747,66,289,329,133,19,747,15,5,33.3,8,53.3,447,2740,1368,20,16,3,18,4,407,34,Matches
606,Nicolas Cozza,fr FRA,DF,Wolfsburg,de Bundesliga,23,1999,1.1,53,2,26,26,3,0,53,1,0,0.0,0,0.0,36,246,85,2,0,0,1,2,35,2,Matches
607,Alessio Cragno,it ITA,GK,Monza,it Serie A,28,1994,1.0,32,26,32,0,0,0,32,0,0,,0,,19,101,61,0,0,0,0,0,17,0,Matches
608,Matthew Craig,sct SCO,MF,Tottenham,eng Premier League,19,2003,0.2,10,1,3,5,2,0,10,0,0,,0,,5,20,6,0,1,0,0,0,6,0,Matches
