,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked,Matches
1312,Luka Jović,rs SRB,"FW,MF",Fiorentina,it Serie A,24,1997,17.0,297,263,32,0,2,1,1,1,0,0,0,0,228,2,6,Matches
1313,Juanmi,es ESP,FW,Betis,es La Liga,29,1993,10.3,245,240,5,0,3,3,0,5,0,0,0,0,207,0,6,Matches
1314,Juanpe,es ESP,DF,Girona,es La Liga,31,1991,15.8,881,822,55,41,0,9,3,2,0,0,0,0,753,4,7,Matches
1315,Jubal,br BRA,DF,Auxerre,fr Ligue 1,28,1993,35.7,1345,1280,64,63,1,22,4,1,0,0,0,0,1099,1,5,Matches
1316,Christopher Jullien,fr FRA,DF,Montpellier,fr Ligue 1,29,1993,29.9,1065,1017,46,40,1,10,0,3,0,0,0,0,884,2,8,Matches
1317,Anthony Jung,de GER,"DF,FW",Werder Bremen,de Bundesliga,30,1991,29.1,1422,1193,224,15,0,3,46,209,0,0,0,0,1085,5,31,Matches
1318,Eli Junior Kroupi,fr FRA,"FW,MF",Lorient,fr Ligue 1,16,2006,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
1319,Lago Junior,ci CIV,"FW,MF",Mallorca,es La Liga,31,1990,0.6,18,18,0,0,0,0,2,0,0,0,0,0,12,0,1,Matches
1320,Hamed Junior Traorè,ci CIV,"FW,MF",Bournemouth,eng Premier League,22,2000,4.7,178,149,28,8,5,0,41,1,18,13,2,2,109,1,4,Matches
1321,Hamed Junior Traorè,ci CIV,"MF,FW",Sassuolo,it Serie A,22,2000,6.6,245,219,22,3,1,4,26,2,16,6,4,0,184,4,14,Matches
1322,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,22,2000,31.4,1153,1107,41,8,5,10,64,24,7,0,0,0,883,5,61,Matches
1323,Josip Juranović,hr CRO,DF,Union Berlin,de Bundesliga,26,1995,10.4,492,313,177,30,0,1,74,109,37,19,15,0,318,2,18,Matches
1324,James Justin,eng ENG,DF,Leicester City,eng Premier League,24,1998,13.9,819,687,130,16,0,4,21,114,0,0,0,0,667,2,19,Matches
1325,Filip Jørgensen,dk DEN,GK,Villarreal,es La Liga,20,2002,2.0,55,41,14,3,0,0,0,0,0,0,0,0,49,0,0,Matches
1326,Mathias Jørgensen,dk DEN,DF,Brentford,eng Premier League,32,1990,12.3,503,437,65,6,0,0,3,55,0,0,0,0,404,1,2,Matches
1327,Ozan Kabak,tr TUR,DF,Hoffenheim,de Bundesliga,22,2000,26.5,1277,1230,41,28,0,11,6,3,0,0,0,0,1056,6,21,Matches
1328,Issa Kaboré,bf BFA,DF,Marseille,fr Ligue 1,21,2001,11.4,567,469,97,2,0,2,48,95,0,0,0,0,436,1,24,Matches
1329,Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,28,1994,0.9,44,39,5,2,0,1,3,2,1,1,0,0,36,0,1,Matches
1330,Pavel Kadeřábek,cz CZE,DF,Hoffenheim,de Bundesliga,30,1992,18.5,883,672,209,7,1,0,74,202,0,0,0,0,615,2,25,Matches
1331,Tino Kadewere,zw ZIM,"FW,MF",Mallorca,es La Liga,26,1996,6.0,151,147,2,0,0,0,7,1,0,0,0,0,95,2,4,Matches
1332,Kaiky,br BRA,DF,Almería,es La Liga,18,2004,6.5,224,208,16,15,0,9,1,1,0,0,0,0,182,0,2,Matches
1333,Florian Kainz,at AUT,"MF,FW",Köln,de Bundesliga,29,1992,26.0,1207,943,251,62,8,10,251,26,152,61,66,0,759,13,51,Matches
1334,Gaël Kakuta,cd COD,FW,Lens,fr Ligue 1,31,1991,0.2,16,16,0,0,0,0,1,0,0,0,0,0,12,0,1,Matches
1335,Sasa Kalajdzic,at AUT,FW,Wolves,eng Premier League,25,1997,0.5,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
1336,Sasa Kalajdzic,at AUT,FW,Stuttgart,de Bundesliga,25,1997,2.6,63,60,3,0,1,1,0,0,0,0,0,0,40,0,2,Matches
1337,Arnaud Kalimuendo,fr FRA,FW,Rennes,fr Ligue 1,20,2002,20.5,442,401,39,0,0,0,14,4,0,0,0,0,359,2,22,Matches
1338,Yayah Kallon,sl SLE,"MF,FW",Hellas Verona,it Serie A,21,2001,9.6,237,223,12,2,0,0,33,4,1,0,0,0,148,2,10,Matches
1339,Gedeon Kalulu,cd COD,DF,Lorient,fr Ligue 1,24,1997,27.1,1375,1151,219,44,0,4,29,175,0,0,0,0,1101,5,37,Matches
1340,Pierre Kalulu,fr FRA,DF,Milan,it Serie A,22,2000,28.3,1821,1674,143,52,3,3,28,86,0,0,0,0,1589,4,13,Matches
1341,Justin-Noël Kalumba,fr FRA,DF,Angers,fr Ligue 1,17,2004,6.1,164,152,12,0,0,0,13,10,2,1,1,0,131,0,9,Matches
1342,Daichi Kamada,jp JPN,MF,Eint Frankfurt,de Bundesliga,25,1996,25.2,1245,1182,59,26,5,12,50,2,31,16,8,0,1005,4,26,Matches
1343,Waren Kamanzi,no NOR,DF,Toulouse,fr Ligue 1,21,2000,7.4,358,295,62,4,0,1,6,58,0,0,0,0,306,1,4,Matches
1344,Bingourou Kamara,sn SEN,GK,Montpellier,fr Ligue 1,25,1996,4.5,131,87,43,8,0,0,0,0,0,0,0,0,87,1,0,Matches
1345,Boubacar Kamara,fr FRA,MF,Aston Villa,eng Premier League,22,1999,19.7,941,907,34,32,2,10,1,0,0,0,0,0,798,0,20,Matches
1346,Jakub Kamiński,pl POL,"FW,DF",Wolfsburg,de Bundesliga,20,2002,22.9,667,623,42,0,4,4,35,42,0,0,0,0,495,2,28,Matches
1347,Marcin Kamiński,pl POL,DF,Schalke 04,de Bundesliga,30,1992,7.0,314,289,23,19,0,3,3,2,0,0,0,0,254,2,2,Matches
1348,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,31,1990,15.2,898,872,24,23,6,2,4,1,0,0,0,0,791,2,25,Matches
1349,Nordine Kandil,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,20,2001,1.1,61,59,2,1,1,0,4,1,0,0,0,0,44,0,2,Matches
1350,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,29,1993,37.8,921,853,60,14,20,18,37,25,0,0,0,0,642,8,39,Matches
1351,Wilfried Kanga,ci CIV,FW,Hertha BSC,de Bundesliga,24,1998,15.7,251,239,11,0,1,0,8,0,0,0,0,0,154,1,5,Matches
1352,Lee Kangin,kr KOR,"MF,FW",Mallorca,es La Liga,21,2001,31.4,1103,883,207,81,7,15,201,12,90,36,43,0,772,13,35,Matches
1353,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,31,1991,5.8,338,336,0,0,2,1,11,0,0,0,0,0,271,2,12,Matches
1354,Kenan Karaman,tr TUR,FW,Schalke 04,de Bundesliga,28,1994,10.8,209,207,1,0,0,0,22,1,0,0,0,0,129,1,10,Matches
1355,Yann Karamoh,fr FRA,"MF,FW",Torino,it Serie A,24,1998,8.0,216,208,7,1,2,3,15,1,0,0,0,0,163,1,13,Matches
1356,Atakan Karazor,de GER,MF,Stuttgart,de Bundesliga,25,1996,21.8,1116,1070,42,40,2,9,0,2,0,0,0,0,945,4,11,Matches
1357,Ayman Kari,fr FRA,"MF,DF",Lorient,fr Ligue 1,17,2004,1.1,74,73,0,0,0,0,0,0,0,0,0,0,67,1,1,Matches
1358,Jon Karrikaburu,es ESP,FW,Real Sociedad,es La Liga,19,2002,1.0,18,18,0,0,1,0,1,0,0,0,0,0,11,0,0,Matches
1359,Rick Karsdorp,nl NED,DF,Roma,it Serie A,27,1995,7.9,380,306,73,4,3,1,14,69,0,0,0,0,295,1,8,Matches
1360,Denso Kasius,nl NED,DF,Bologna,it Serie A,19,2002,3.8,192,156,35,1,0,3,12,34,0,0,0,0,143,1,3,Matches
1361,Thomas Kastanaras,gr GRE,"FW,DF",Stuttgart,de Bundesliga,19,2003,0.8,17,15,2,0,0,0,1,0,0,0,0,0,14,0,2,Matches
1362,Grigoris Kastanos,cy CYP,"MF,DF",Salernitana,it Serie A,24,1998,14.3,621,525,90,27,1,6,26,47,16,3,0,0,460,6,23,Matches
1363,Silas Katompa,cd COD,"FW,MF",Stuttgart,de Bundesliga,23,1998,22.1,399,377,19,1,1,1,33,8,0,0,0,0,295,3,14,Matches
1364,Moise Kean,it ITA,FW,Juventus,it Serie A,22,2000,11.1,187,176,9,1,1,0,5,1,0,0,0,0,130,2,11,Matches
1365,Michael Keane,eng ENG,DF,Everton,eng Premier League,29,1993,10.9,441,429,9,3,0,0,4,6,0,0,0,0,305,3,8,Matches
1366,Neeskens Kebano,cd COD,FW,Fulham,eng Premier League,30,1992,8.5,212,206,6,2,0,1,24,0,4,0,1,0,155,0,16,Matches
1367,Kévin Keben Biakolo,cm CMR,DF,Toulouse,fr Ligue 1,18,2004,4.0,148,112,36,1,0,1,6,35,0,0,0,0,117,0,6,Matches
1368,Thilo Kehrer,de GER,DF,West Ham,eng Premier League,25,1996,24.8,1112,992,116,24,1,6,23,91,0,0,0,0,927,4,14,Matches
1369,Check Keita,fr FRA,DF,Reims,fr Ligue 1,19,2003,7.6,305,286,16,15,0,0,0,1,0,0,0,0,264,3,2,Matches
1370,Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,27,1995,3.3,168,161,6,1,0,0,2,1,0,0,0,0,129,1,7,Matches
1371,Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,22,2000,7.6,245,234,11,9,0,2,4,0,0,0,0,0,189,0,4,Matches
1372,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,23,1998,1.0,24,22,2,0,0,0,0,0,0,0,0,0,23,0,0,Matches
1373,Lloyd Kelly,eng ENG,DF,Bournemouth,eng Premier League,23,1998,22.7,1164,1020,140,29,2,11,14,109,0,0,0,0,934,4,12,Matches
1374,Marc-Oliver Kempf,de GER,DF,Hertha BSC,de Bundesliga,27,1995,30.1,1303,1230,68,67,2,17,2,0,0,0,0,0,1011,5,15,Matches
1375,Kenedy,br BRA,"FW,DF",Valladolid,es La Liga,26,1996,3.1,86,80,5,0,0,1,5,2,1,0,0,0,57,1,4,Matches
1376,Jonjoe Kenny,eng ENG,DF,Hertha BSC,de Bundesliga,25,1997,24.9,1207,955,245,9,0,3,54,235,1,0,0,0,879,7,35,Matches
1377,Franck Kessié,ci CIV,MF,Barcelona,es La Liga,25,1996,11.0,457,441,13,6,2,5,5,3,1,0,0,0,391,3,5,Matches
1378,Saîf-Eddine Khaoui,tn TUN,MF,Clermont Foot,fr Ligue 1,27,1995,22.5,713,636,70,24,2,2,56,0,46,17,19,0,486,7,17,Matches
1379,Wahbi Khazri,tn TUN,"FW,MF",Montpellier,fr Ligue 1,31,1991,18.2,483,421,58,16,3,11,39,11,18,9,9,0,344,4,20,Matches
1380,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,28,1994,32.0,1039,1007,30,14,1,3,11,1,1,1,0,0,778,2,20,Matches
1381,Anthony Khelifa,fr FRA,DF,Ajaccio,fr Ligue 1,16,2005,0.1,12,11,1,1,0,0,0,0,0,0,0,0,11,0,0,Matches
1382,Kike,es ESP,FW,Osasuna,es La Liga,32,1989,11.3,244,229,13,0,0,1,7,1,0,0,0,0,167,2,9,Matches
1383,Luca Kilian,de GER,DF,Köln,de Bundesliga,22,1999,12.5,685,662,20,13,0,5,1,4,0,0,0,0,585,3,5,Matches
1384,Max Kilman,eng ENG,DF,Wolves,eng Premier League,25,1997,36.7,2107,2069,29,28,0,31,5,1,0,0,0,0,1748,9,20,Matches
1385,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,27,1995,31.2,2767,2407,351,119,29,10,240,28,204,83,98,4,2333,9,24,Matches
1386,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,26,1995,8.1,503,454,48,13,1,0,0,20,0,0,0,0,471,1,6,Matches
1387,Jakub Kiwior,pl POL,DF,Arsenal,eng Premier League,22,2000,4.7,205,192,13,5,1,1,1,8,0,0,0,0,177,0,4,Matches
1388,Jakub Kiwior,pl POL,DF,Spezia,it Serie A,22,2000,16.0,775,683,89,34,1,3,14,12,9,6,3,0,653,3,4,Matches
1389,Simon Kjær,dk DEN,DF,Milan,it Serie A,33,1989,11.2,683,667,16,15,0,6,2,1,0,0,0,0,591,0,1,Matches
1390,Pascal Klemens,de GER,DF,Hertha BSC,de Bundesliga,17,2005,1.0,33,33,0,0,0,1,0,0,0,0,0,0,28,0,0,Matches
1391,Mateusz Klich,pl POL,"MF,FW",Leeds United,eng Premier League,32,1990,3.1,148,139,9,2,0,0,8,4,3,1,1,0,108,0,7,Matches
1392,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,26,1996,10.1,784,752,29,15,2,0,4,14,0,0,0,0,687,3,6,Matches
1393,Justin Kluivert,nl NED,"FW,MF",Valencia,es La Liga,23,1999,16.1,399,345,49,8,0,2,64,6,31,5,10,0,276,5,12,Matches
1394,Ansgar Knauff,de GER,DF,Eint Frankfurt,de Bundesliga,20,2002,14.3,683,523,158,5,1,0,29,153,0,0,0,0,455,2,32,Matches
1395,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,30,1992,31.9,1643,1578,59,56,1,7,5,3,0,0,0,0,1332,6,20,Matches
1396,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,24,1997,27.0,1049,800,247,55,0,2,0,0,0,0,0,0,871,2,0,Matches
1397,Robin Koch,de GER,DF,Leeds United,eng Premier League,26,1996,35.3,1594,1544,46,46,2,5,1,0,0,0,0,0,1229,4,25,Matches
1398,Samuel Koeberlé,fr FRA,MF,Reims,fr Ligue 1,17,2004,0.0,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0,Matches
1399,Rudy Kohon,fr FRA,DF,Troyes,fr Ligue 1,18,2004,0.7,28,27,1,0,0,0,0,1,0,0,0,0,24,0,1,Matches
1400,Dominik Kohr,de GER,MF,Mainz 05,de Bundesliga,28,1994,25.5,1183,1139,39,34,4,8,5,5,0,0,0,0,865,5,24,Matches
1401,Koke,es ESP,MF,Atlético Madrid,es La Liga,30,1992,28.3,2038,1964,59,52,8,17,24,4,0,0,0,0,1784,15,30,Matches
1402,Sead Kolašinac,ba BIH,DF,Marseille,fr Ligue 1,29,1993,24.6,1333,1261,68,23,1,3,20,45,0,0,0,0,1135,4,20,Matches
1403,Luca Koleosho,it ITA,"FW,DF",Espanyol,es La Liga,17,2004,0.7,28,28,0,0,0,0,3,0,0,0,0,0,18,0,2,Matches
1404,Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,de Bundesliga,23,1998,29.2,649,624,21,0,4,3,25,1,0,0,0,0,419,4,36,Matches
1405,Timothée Kolodziejczak,fr FRA,DF,Schalke 04,de Bundesliga,30,1991,0.3,17,14,3,0,0,0,1,3,0,0,0,0,14,0,0,Matches
1406,Cheick Konaté,ci CIV,DF,Clermont Foot,fr Ligue 1,18,2004,6.4,314,265,49,12,1,3,4,37,0,0,0,0,228,0,13,Matches
1407,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,23,1999,17.2,1135,1115,19,16,2,6,1,3,0,0,0,0,988,1,5,Matches
1408,Geoffrey Kondogbia,cf CTA,MF,Atlético Madrid,es La Liga,29,1993,11.2,634,620,14,13,0,11,0,1,0,0,0,0,567,0,2,Matches
1409,Ibrahima Koné,ml MLI,FW,Lorient,fr Ligue 1,23,1999,17.5,359,351,8,0,2,0,1,1,0,0,0,0,240,0,11,Matches
1410,Kouadio Koné,fr FRA,MF,M'Gladbach,de Bundesliga,21,2001,29.0,1377,1345,21,19,2,5,6,2,0,0,0,0,1187,11,26,Matches
1411,Youssouf Koné,ml MLI,DF,Ajaccio,fr Ligue 1,27,1995,10.2,426,355,70,9,0,2,27,61,0,0,0,0,322,1,7,Matches
1412,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,24,1997,36.9,1898,1806,88,60,1,6,4,18,0,0,0,0,1681,4,14,Matches
1413,Teun Koopmeiners,nl NED,MF,Atalanta,it Serie A,24,1998,31.8,1727,1558,162,55,5,19,158,26,77,42,26,0,1271,7,33,Matches
1414,Odilon Kossonou,ci CIV,DF,Leverkusen,de Bundesliga,21,2001,16.9,973,911,60,22,0,2,4,38,0,0,0,0,808,2,19,Matches
1415,Filip Kostić,rs SRB,"DF,FW",Juventus,it Serie A,29,1992,28.5,1212,1041,167,15,4,11,227,106,46,2,41,1,830,4,56,Matches
1416,Filip Kostić,rs SRB,"DF,MF",Eint Frankfurt,de Bundesliga,29,1992,0.8,40,25,14,3,0,1,7,6,5,3,2,0,23,1,0,Matches
1417,Christian Kouamé,ci CIV,FW,Fiorentina,it Serie A,24,1997,20.7,661,628,31,2,1,6,49,21,2,0,0,0,468,2,15,Matches
1418,Rominigue Kouamé,ml MLI,MF,Troyes,fr Ligue 1,25,1996,29.6,1403,1391,8,8,2,17,5,0,0,0,0,0,1244,4,17,Matches
1419,Tomáš Koubek,cz CZE,GK,Augsburg,de Bundesliga,29,1992,11.0,510,385,125,29,0,0,0,0,0,0,0,0,349,0,0,Matches
1420,Kalidou Koulibaly,sn SEN,DF,Chelsea,eng Premier League,31,1991,20.0,1471,1421,45,33,0,15,4,12,0,0,0,0,1275,5,12,Matches
1421,Jules Koundé,fr FRA,DF,Barcelona,es La Liga,23,1998,27.0,2024,1840,180,50,4,11,36,130,0,0,0,0,1775,4,25,Matches
1422,Boubakar Kouyaté,ml MLI,DF,Montpellier,fr Ligue 1,25,1997,14.0,611,595,16,14,0,3,1,2,0,0,0,0,499,0,8,Matches
1423,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,eng Premier League,32,1989,9.8,246,241,4,4,0,1,0,0,0,0,0,0,185,1,7,Matches
1424,Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,28,1994,19.0,1319,1289,29,26,10,10,6,3,0,0,0,0,1130,1,25,Matches
1425,Viktor Kovalenko,ua UKR,MF,Spezia,it Serie A,26,1996,6.1,241,223,17,4,0,3,15,3,10,5,4,0,189,1,8,Matches
1426,Soichiro Kozuki,jp JPN,"FW,MF",Schalke 04,de Bundesliga,21,2000,4.2,85,83,2,0,0,1,15,1,1,0,1,0,52,0,4,Matches
1427,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,27,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1428,Alex Král,cz CZE,MF,Schalke 04,de Bundesliga,24,1998,26.2,847,796,45,16,2,2,27,2,0,0,0,0,586,6,28,Matches
1429,Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,de Bundesliga,31,1991,26.5,998,937,54,3,0,12,47,18,6,1,1,0,790,7,25,Matches
1430,Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,31,1991,24.7,1233,1170,58,37,2,4,11,11,0,0,0,0,1020,5,36,Matches
1431,Tom Krauß,de GER,MF,Schalke 04,de Bundesliga,21,2001,27.9,804,776,24,6,2,2,16,1,0,0,0,0,578,4,31,Matches
1432,Julian Kristoffersen,no NOR,FW,Salernitana,it Serie A,25,1997,0.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1433,Raimonds Krollis,lv LVA,"FW,DF",Spezia,it Serie A,20,2001,0.4,7,7,0,0,0,0,0,0,0,0,0,0,5,0,1,Matches
1434,Toni Kroos,de GER,MF,Real Madrid,es La Liga,32,1990,23.9,2482,2246,223,123,4,41,122,15,84,27,30,1,2255,13,12,Matches
1435,Rade Krunić,ba BIH,MF,Milan,it Serie A,28,1993,18.4,955,931,24,16,2,1,3,4,3,1,1,0,819,0,19,Matches
1436,Max Kruse,de GER,"MF,FW",Wolfsburg,de Bundesliga,34,1988,3.0,121,105,16,3,1,3,6,8,2,0,0,0,90,0,8,Matches
1437,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,29,1992,18.2,827,701,123,8,1,2,33,115,0,0,0,0,569,3,20,Matches
1438,Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,es La Liga,21,2001,27.1,875,823,42,5,3,5,72,5,29,10,12,1,621,10,35,Matches
1439,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,eng Premier League,22,2000,23.0,746,684,61,1,5,3,62,7,23,6,3,0,582,1,26,Matches
1440,Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,17,2005,14.7,794,641,151,8,1,0,32,143,0,0,0,0,653,2,19,Matches
1441,Marash Kumbulla,al ALB,DF,Roma,it Serie A,22,2000,2.9,180,176,4,4,0,2,0,0,0,0,0,0,157,0,1,Matches
1442,Pierre Kunde,cm CMR,"MF,FW",Bochum,de Bundesliga,27,1995,4.2,202,179,23,7,1,5,8,14,2,2,0,0,119,0,3,Matches
1443,Alou Kuol,au AUS,FW,Stuttgart,de Bundesliga,21,2000,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
1444,Layvin Kurzawa,fr FRA,DF,Fulham,eng Premier League,29,1992,1.5,41,29,12,0,0,0,2,12,0,0,0,0,28,0,2,Matches
1445,Khvicha Kvaratskhelia,ge GEO,FW,Napoli,it Serie A,21,2001,28.0,1136,1083,49,9,14,15,76,18,22,8,3,0,900,4,22,Matches
1446,Grejohn Kyei,fr FRA,FW,Clermont Foot,fr Ligue 1,26,1995,24.8,527,477,45,0,1,4,7,0,0,0,0,0,376,5,16,Matches
1447,Daniel Kyereh,gh GHA,"MF,FW",Freiburg,de Bundesliga,26,1996,6.2,182,176,5,1,0,0,3,0,2,0,1,0,139,1,7,Matches
1448,Giorgos Kyriakopoulos,gr GRE,"DF,FW",Bologna,it Serie A,26,1996,7.8,413,352,59,12,0,0,38,37,10,9,1,0,318,2,10,Matches
1449,Giorgos Kyriakopoulos,gr GRE,"FW,DF",Sassuolo,it Serie A,26,1996,8.5,391,332,56,7,0,6,39,39,10,2,5,0,300,3,9,Matches
1450,César de la Hoz,es ESP,MF,Almería,es La Liga,30,1992,18.6,556,538,13,13,1,6,3,0,0,0,0,0,435,5,7,Matches
1451,Luca de la Torre,us USA,MF,Celta Vigo,es La Liga,24,1998,16.5,613,600,5,4,2,2,21,1,0,0,0,0,510,8,19,Matches
1452,Rémy Labeau Lascary,gp GLP,"FW,MF",Lens,fr Ligue 1,19,2003,1.4,29,29,0,0,0,0,3,0,0,0,0,0,23,0,1,Matches
1453,Gaëtan Laborde,fr FRA,FW,Nice,fr Ligue 1,28,1994,27.8,714,663,47,1,3,2,71,2,24,12,11,0,471,4,29,Matches
1454,Gaëtan Laborde,fr FRA,FW,Rennes,fr Ligue 1,28,1994,2.8,61,54,7,0,0,0,3,0,0,0,0,0,41,0,6,Matches
1455,Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,31,1991,32.5,917,845,61,8,8,4,35,1,6,1,4,0,661,11,30,Matches
1456,Qazim Laçi,al ALB,MF,Ajaccio,fr Ligue 1,26,1996,2.4,142,134,8,5,0,1,8,0,3,1,2,0,111,0,2,Matches
1457,Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,22,2000,18.1,1095,1029,64,48,1,11,3,5,0,0,0,0,952,2,6,Matches
1458,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,23,1999,37.0,1191,840,349,102,0,9,0,0,0,0,0,0,835,2,2,Matches
1459,Aïssa Laïdouni,tn TUN,MF,Union Berlin,de Bundesliga,25,1996,9.7,320,310,8,2,4,2,11,2,0,0,0,0,236,2,11,Matches
1460,Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,25,1997,16.3,751,720,28,19,7,5,12,9,0,0,0,0,596,3,22,Matches
1461,Stefan Lainer,at AUT,DF,M'Gladbach,de Bundesliga,29,1992,9.1,618,536,80,6,2,1,18,73,0,0,0,0,501,2,13,Matches
1462,Kenny Lala,fr FRA,DF,Brest,fr Ligue 1,30,1991,15.7,874,668,203,40,2,6,64,147,16,5,10,0,660,3,22,Matches
1463,Adam Lallana,eng ENG,"MF,FW",Brighton,eng Premier League,34,1988,8.0,317,304,11,2,0,0,3,2,1,0,0,0,262,2,5,Matches
1464,Vassilis Lambropoulos,gr GRE,DF,Bochum,de Bundesliga,32,1990,7.0,240,230,10,5,0,1,0,5,0,0,0,0,163,0,1,Matches
1465,Érik Lamela,ar ARG,"FW,MF",Sevilla,es La Liga,30,1992,20.5,770,732,30,6,1,0,33,6,15,5,3,0,588,8,33,Matches
1466,Mohamed Lamine Bayo,gn GUI,"FW,MF",Lille,fr Ligue 1,24,1998,7.2,129,118,11,0,0,0,2,0,0,0,0,0,81,0,4,Matches
1467,Sam Lammers,nl NED,FW,Sampdoria,it Serie A,25,1997,12.2,254,244,9,0,1,0,2,2,0,0,0,0,172,1,9,Matches
1468,Sam Lammers,nl NED,FW,Empoli,it Serie A,25,1997,9.8,230,226,3,0,0,0,4,0,0,0,0,0,143,1,8,Matches
1469,Tariq Lamptey,gh GHA,DF,Brighton,eng Premier League,21,2000,5.0,302,258,44,5,1,1,31,39,0,0,0,0,239,0,6,Matches
1470,Manuel Lanzini,ar ARG,"MF,FW",West Ham,eng Premier League,29,1993,2.8,175,173,2,0,0,0,2,0,0,0,0,0,146,0,5,Matches
1471,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,28,1994,11.0,964,926,37,21,1,6,6,10,0,0,0,0,892,1,5,Matches
1472,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,28,1993,18.4,799,779,18,12,0,10,0,2,0,0,0,0,681,2,6,Matches
1473,Cyle Larin,ca CAN,FW,Valladolid,es La Liga,27,1995,16.3,247,241,6,0,1,2,6,0,0,0,0,0,170,0,16,Matches
1474,Juan Larios,es ESP,DF,Southampton,eng Premier League,18,2004,1.7,82,59,23,0,0,0,4,23,0,0,0,0,63,0,2,Matches
1475,Yasser Larouci,fr FRA,"DF,MF",Troyes,fr Ligue 1,21,2001,20.0,824,655,166,12,5,0,50,148,5,3,0,0,621,3,20,Matches
1476,Jordan Larsson,se SWE,"FW,MF",Schalke 04,de Bundesliga,25,1997,5.1,117,112,5,1,0,1,2,2,2,1,1,0,87,0,5,Matches
1477,Kevin Lasagna,it ITA,"FW,MF",Hellas Verona,it Serie A,29,1992,17.5,258,236,16,1,0,1,13,3,0,0,0,0,157,6,17,Matches
1478,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,28,1993,2.4,93,93,0,0,0,0,0,0,0,0,0,0,79,0,0,Matches
1479,Latasa,es ESP,FW,Getafe,es La Liga,21,2001,5.0,164,159,3,0,0,1,2,0,0,0,0,0,80,2,7,Matches
1480,Toni Lato,es ESP,"DF,MF",Valencia,es La Liga,24,1997,10.2,490,417,72,10,1,3,32,50,12,2,6,0,390,1,9,Matches
1481,Danny Latza,de GER,MF,Schalke 04,de Bundesliga,32,1989,9.5,394,356,37,17,2,2,20,2,10,5,3,1,310,1,10,Matches
1482,Armand Lauriente,fr FRA,FW,Sassuolo,it Serie A,23,1998,24.2,805,732,73,21,2,5,110,7,44,26,8,0,572,0,29,Matches
1483,Armand Lauriente,fr FRA,FW,Lorient,fr Ligue 1,23,1998,3.0,95,92,3,1,2,0,6,0,2,1,1,0,73,0,1,Matches
1484,Roméo Lavia,be BEL,MF,Southampton,eng Premier League,18,2004,24.7,997,985,10,5,5,9,3,1,4,0,0,2,859,2,22,Matches
1485,Lázaro,br BRA,"FW,MF",Almería,es La Liga,20,2002,8.0,218,204,14,1,0,5,9,1,3,2,0,0,170,0,5,Matches
