,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%,Seasons at top 5,Seasons in PL,Seasons in Liga,Seasons in Serie A,Seasons in Ligue 1,Seasons in Bundesliga
1,3.0,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,36.0,1987.0,21.0,21.0,1881,20.9,0.14,0.14,0.14,0.14,0.11,0.12,0.11,0.12,14.0,8.0,57.1,6.0,42.9,74.74,8.47,32.11,39.47,3.88,1.24,74.74,0.67,0.38,0.29,53.21,302.87,168.66,1.29,0.72,0.0,0.86,0.14,49.57,0.24,0.67,0.0,0.53,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.0,1334.0,83.8,21209.0,6587.0,347.0,392.0,88.5,657.0,725.0,90.6,94.0,177.0,53.1,0.0,0.01,0.02,-0.01,0.24,4.74,0.1,0.0,4.78,63.83,58.04,5.5,2.11,0.1,0.38,0.05,1.29,0.0,0.0,0.0,0.0,53.49,0.29,0.72,0.77,0.33,0.19,0.43,0.14,0.8,0.8,60.3,0.14,0.0,0.0,0.77,0.43,0.0,1.2,1.2,0.0,0.0,5.55,1.82,1.2,1.96,0.91,0.91,0.14,0.81,1.53,0.72,1.63,1.05,3.16,2.97,0.05,53.1,1,0,0,0,1,0
3,5.0,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,31.0,1993.0,24.0,24.0,2141,23.8,0.04,0.08,0.04,0.08,0.03,0.1,0.03,0.1,44.0,31.0,70.5,12.0,27.3,67.44,3.28,18.32,41.09,8.87,0.25,67.44,1.85,1.3,0.5,51.89,253.19,109.41,0.92,1.18,0.13,0.84,0.88,47.06,1.47,1.98,0.21,1.47,0.08,0.08,0.0,0.08,0.25,0.13,0.0,0.04,0.0,0.0,0.04,1176.0,1374.0,85.6,20506.0,6149.0,489.0,543.0,90.1,527.0,594.0,88.7,114.0,171.0,66.7,0.04,0.07,0.06,-0.03,0.84,5.5,0.71,0.08,5.0,57.73,54.62,2.94,2.44,0.13,0.42,0.92,0.29,0.0,0.0,0.0,0.0,49.41,0.17,0.63,0.59,0.25,0.07,0.17,0.05,0.3,0.3,50.0,0.13,0.0,0.0,1.09,1.09,0.04,1.93,1.51,0.0,0.0,7.18,0.46,0.46,2.69,1.39,1.09,0.21,1.13,3.03,1.89,0.92,0.21,4.62,1.89,0.04,37.5,1,0,0,0,1,0
6,10.0,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36.0,1988.0,21.0,18.0,1668,18.5,0.11,0.16,0.11,0.16,0.06,0.15,0.06,0.15,3.0,2.0,66.7,1.0,33.3,73.14,8.22,35.57,33.73,4.16,1.14,73.14,0.16,0.11,0.05,43.89,196.43,95.78,0.7,0.38,0.0,0.05,0.05,52.49,0.97,0.81,0.05,0.65,0.0,0.0,0.16,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1096.0,1214.0,90.3,19706.0,6103.0,423.0,458.0,92.4,571.0,612.0,93.3,81.0,113.0,71.7,0.05,0.09,0.06,-0.04,0.27,2.27,0.16,0.05,2.97,65.62,62.97,2.59,1.78,0.0,0.38,0.38,0.38,0.0,0.0,0.0,0.0,59.24,0.05,0.16,0.7,0.27,0.15,0.4,0.08,1.0,1.0,64.0,0.05,0.0,0.0,0.76,0.81,0.16,1.3,0.59,0.0,0.0,4.16,2.59,1.46,0.97,0.76,0.22,0.0,0.49,0.65,0.16,0.65,0.43,2.27,2.92,0.0,75.0,1,0,0,1,0,0
14,31.0,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27.0,1996.0,19.0,19.0,1686,18.7,0.05,0.05,0.05,0.05,0.08,0.09,0.08,0.09,4.0,2.0,50.0,2.0,50.0,65.35,9.41,34.39,28.66,2.41,0.96,65.35,0.21,0.11,0.11,40.91,196.68,109.84,0.48,0.43,0.0,0.43,0.11,43.1,0.16,0.69,0.0,0.59,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,1044.0,79.5,17721.0,7957.0,293.0,314.0,93.3,396.0,429.0,92.3,131.0,277.0,47.3,0.0,0.01,0.02,-0.01,0.16,3.53,0.05,0.0,3.26,55.83,52.3,3.42,2.51,0.05,1.5,0.21,0.27,0.0,0.0,0.0,0.0,44.39,0.11,0.27,0.75,0.16,0.07,0.33,0.11,-0.5,-0.5,60.3,0.16,0.05,0.05,0.48,0.27,0.0,0.86,0.59,0.0,0.05,5.19,2.19,1.44,1.18,0.86,0.32,0.0,0.7,0.91,0.21,1.5,1.12,2.03,4.33,0.11,76.5,1,1,0,0,0,0
15,32.0,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30.0,1993.0,17.0,17.0,1487,16.5,0.0,0.18,0.0,0.18,0.06,0.22,0.06,0.22,18.0,6.0,33.3,10.0,55.6,70.97,2.61,14.67,31.88,24.91,2.0,70.97,1.09,0.36,0.61,48.73,245.45,114.12,1.88,1.82,0.12,1.45,0.36,45.45,8.0,2.3,0.3,2.12,0.0,0.06,0.12,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,801.0,980.0,81.7,11822.0,4576.0,458.0,508.0,90.2,282.0,339.0,83.2,35.0,74.0,47.3,0.18,0.16,0.22,0.02,1.27,3.39,2.06,0.67,5.33,59.39,51.15,8.12,0.97,0.18,0.06,3.39,7.15,0.0,0.0,0.0,0.0,48.55,0.12,1.52,0.67,0.18,0.0,0.0,0.08,-0.9,-0.9,50.0,0.12,0.0,0.0,0.79,1.09,0.18,1.27,1.45,0.0,0.0,4.67,1.15,1.15,2.48,1.27,1.09,0.12,1.21,2.06,0.85,1.39,0.12,3.76,1.94,0.0,58.8,1,0,0,0,1,0
18,38.0,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22.0,2001.0,23.0,20.0,1615,17.9,0.0,0.06,0.0,0.06,0.09,0.18,0.09,0.18,80.0,44.0,55.0,27.0,33.8,59.5,2.35,15.75,26.31,18.38,2.01,59.5,4.47,2.46,1.51,34.75,193.63,94.69,2.68,1.96,0.34,1.84,1.84,38.77,4.02,2.5,0.11,1.79,0.39,0.06,0.11,0.17,0.0,0.06,0.0,0.0,0.0,0.06,0.0,708.0,839.0,84.4,9801.0,2937.0,445.0,490.0,90.8,202.0,238.0,84.9,29.0,51.0,56.9,0.06,0.09,0.08,-0.03,1.06,2.68,0.56,0.11,4.41,46.87,41.51,5.2,0.78,0.11,0.11,1.56,4.08,0.34,0.22,0.11,0.0,39.55,0.17,0.73,0.72,0.06,0.0,0.0,0.13,-1.6,-1.6,43.8,0.34,0.0,0.0,1.17,1.62,0.17,0.67,1.56,0.0,0.0,5.53,0.78,1.01,2.68,1.51,0.89,0.28,1.01,1.62,0.61,1.28,0.34,3.35,1.68,0.0,62.1,1,1,0,0,0,0
20,41.0,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,30.0,1994.0,18.0,12.0,1108,12.3,0.16,0.16,0.16,0.16,0.4,0.47,0.28,0.35,10.0,2.0,20.0,7.0,70.0,37.56,0.57,3.01,18.78,15.85,5.69,37.4,0.81,0.16,0.57,16.18,50.33,14.15,0.24,0.41,0.08,2.68,0.57,28.05,5.61,2.43,0.0,2.03,0.08,0.0,0.08,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,341.0,71.0,3473.0,392.0,131.0,182.0,72.0,75.0,101.0,74.3,14.0,18.0,77.8,0.0,0.07,0.11,-0.07,1.14,1.22,0.24,0.0,1.38,27.72,25.85,1.79,0.16,0.16,0.33,0.24,0.0,0.0,0.0,0.0,0.0,19.67,0.08,0.41,1.87,0.41,0.09,0.4,0.15,-3.0,-1.4,44.8,0.24,0.0,0.0,1.87,0.98,0.24,0.08,0.16,0.0,0.0,2.93,4.88,6.02,0.16,0.08,0.08,0.0,0.08,0.73,0.65,0.49,0.16,0.24,0.57,0.0,11.1,1,0,0,0,0,1
21,42.0,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28.0,1995.0,19.0,18.0,1586,17.6,0.11,0.11,0.11,0.11,0.05,0.06,0.05,0.06,3.0,2.0,66.7,1.0,33.3,93.64,6.19,27.67,51.53,14.83,1.08,93.64,0.17,0.11,0.06,60.45,304.43,182.56,1.93,1.65,0.11,0.51,0.28,73.01,1.19,1.87,0.17,1.53,0.06,0.0,0.11,0.11,0.06,0.17,0.0,0.0,0.0,0.0,0.0,1393.0,1499.0,92.9,22809.0,5875.0,690.0,718.0,96.1,602.0,637.0,94.5,75.0,102.0,73.5,0.0,0.01,0.06,-0.01,0.34,7.61,0.51,0.06,5.28,85.17,82.73,2.33,0.97,0.23,0.57,0.34,1.08,0.0,0.0,0.0,0.0,79.15,0.11,0.45,0.57,0.23,0.2,0.5,0.09,1.1,1.1,55.9,0.23,0.06,0.06,0.68,0.91,0.0,0.97,0.85,0.0,0.0,5.34,1.08,0.85,1.36,0.51,0.57,0.28,0.8,1.48,0.68,1.19,0.57,2.33,2.9,0.06,53.8,1,1,0,0,0,0
24,54.0,David Alaba,at AUT,DF,Real Madrid,es La Liga,31.0,1992.0,14.0,14.0,1154,12.8,0.0,0.08,0.0,0.08,0.08,0.13,0.08,0.13,0.0,0.0,0.0,0.0,0.0,78.44,9.92,37.03,35.7,6.25,0.86,78.44,0.0,0.0,0.0,54.61,278.67,157.11,0.7,0.86,0.0,0.39,0.08,57.03,1.02,1.4,0.08,1.02,0.31,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,810.0,904.0,89.6,12977.0,4997.0,447.0,464.0,96.3,297.0,330.0,90.0,49.0,84.0,58.3,0.08,0.05,0.06,0.02,0.78,4.38,0.39,0.0,3.98,70.62,65.23,5.08,1.8,0.31,0.55,1.33,0.39,0.94,0.55,0.23,0.0,63.28,0.31,0.16,1.09,0.23,0.0,0.0,0.07,-1.0,-1.0,52.6,0.16,0.0,0.0,0.31,0.0,0.0,1.17,0.7,0.0,0.0,4.92,0.78,0.7,1.02,0.55,0.39,0.08,0.31,0.62,0.31,0.78,0.55,2.19,2.66,0.0,50.0,1,0,1,0,0,0
25,55.0,Luis Alberto,es ESP,MF,Lazio,it Serie A,31.0,1992.0,24.0,23.0,1791,19.9,0.2,0.4,0.2,0.4,0.15,0.3,0.15,0.3,33.0,15.0,45.5,14.0,42.4,72.16,0.95,9.75,38.09,25.08,2.06,72.16,1.66,0.75,0.7,38.74,198.74,115.88,3.12,2.16,0.35,1.36,0.95,51.96,4.22,3.87,0.25,2.81,0.85,0.0,0.2,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,972.0,1262.0,77.0,14964.0,4864.0,538.0,604.0,89.1,321.0,388.0,82.7,75.0,186.0,40.3,0.2,0.15,0.16,0.06,2.06,6.68,1.61,0.15,8.09,63.42,55.18,7.84,2.76,0.4,0.3,5.68,0.4,4.02,1.56,2.11,0.0,48.84,0.4,1.21,2.01,0.55,0.1,0.36,0.07,1.0,1.0,28.6,0.3,0.0,0.0,0.55,1.01,0.1,0.25,0.75,0.0,0.0,5.83,0.3,0.75,1.36,0.6,0.45,0.3,0.55,1.91,1.36,1.46,0.2,1.61,0.55,0.0,28.9,1,0,0,1,0,0
26,56.0,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38.0,1985.0,21.0,20.0,1636,18.2,0.0,0.06,0.0,0.06,0.02,0.07,0.02,0.07,0.0,0.0,0.0,0.0,0.0,64.73,9.95,37.75,26.15,1.26,0.71,64.73,0.0,0.0,0.0,35.38,208.24,121.37,0.38,0.05,0.0,0.38,0.16,43.68,0.0,0.22,0.06,0.11,0.0,0.0,0.11,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,862.0,1008.0,85.5,17741.0,6756.0,233.0,258.0,90.3,523.0,563.0,92.9,101.0,163.0,62.0,0.05,0.04,0.03,0.01,0.16,2.86,0.0,0.0,2.69,55.38,52.47,2.69,2.31,0.0,0.33,0.0,0.11,0.0,0.0,0.0,0.0,47.36,0.22,0.44,0.33,0.06,0.0,0.0,0.07,-0.4,-0.4,63.8,0.22,0.0,0.0,0.88,0.33,0.05,0.71,0.49,0.0,0.0,3.35,2.42,1.37,0.88,0.38,0.44,0.05,0.66,1.15,0.49,1.43,1.1,1.59,5.0,0.0,57.1,1,0,1,0,0,0
27,59.0,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32.0,1991.0,25.0,25.0,2144,23.8,0.08,0.08,0.04,0.04,0.08,0.11,0.05,0.08,14.0,5.0,35.7,7.0,50.0,54.03,3.03,13.7,33.15,7.73,0.67,53.99,0.59,0.21,0.29,25.63,117.94,48.99,0.67,0.63,0.0,0.71,0.71,30.0,1.05,1.81,0.17,1.22,0.29,0.0,0.17,0.04,0.08,0.08,0.0,0.0,0.08,0.0,0.0,798.0,1014.0,78.7,15392.0,4457.0,348.0,384.0,90.6,305.0,349.0,87.4,121.0,219.0,55.3,0.0,0.03,0.03,-0.03,0.63,4.12,0.38,0.04,4.08,42.61,39.12,2.98,2.44,0.04,1.3,0.71,0.08,0.21,0.0,0.21,0.0,33.53,0.5,0.59,1.26,0.21,0.03,0.2,0.04,0.0,-0.2,48.7,0.5,0.0,0.0,2.65,2.02,0.04,1.05,1.55,0.0,0.0,6.47,1.55,1.64,2.56,1.05,1.34,0.17,1.22,3.28,2.06,1.93,0.46,3.61,1.76,0.0,37.2,1,0,1,0,0,0
28,60.0,Omar Alderete,py PAR,DF,Getafe,es La Liga,27.0,1996.0,20.0,14.0,1270,14.1,0.0,0.07,0.0,0.07,0.03,0.05,0.03,0.05,8.0,4.0,50.0,3.0,37.5,50.78,6.17,22.91,25.46,2.91,1.42,50.78,0.57,0.28,0.21,23.33,133.9,78.3,0.71,0.5,0.0,0.35,0.28,23.48,0.35,1.13,0.14,0.92,0.0,0.07,0.07,0.07,0.0,0.14,0.0,0.0,0.0,0.0,0.0,321.0,539.0,59.6,7830.0,3541.0,81.0,110.0,73.6,156.0,204.0,76.5,81.0,202.0,40.1,0.07,0.01,0.02,0.06,0.57,3.55,0.57,0.0,3.4,38.23,35.11,2.55,2.41,0.0,1.28,0.14,0.07,0.0,0.0,0.0,0.0,22.77,0.57,0.5,0.99,0.14,0.0,0.0,0.03,-0.4,-0.4,56.9,0.35,0.07,0.0,1.35,0.57,0.07,0.5,0.92,0.0,0.0,5.11,2.62,1.99,1.21,0.85,0.35,0.0,0.85,1.42,0.57,1.42,0.92,1.7,5.25,0.0,60.0,1,0,1,0,0,0
30,63.0,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25.0,1998.0,21.0,19.0,1622,18.0,0.11,0.33,0.11,0.33,0.1,0.4,0.08,0.39,45.0,25.0,55.6,17.0,37.8,95.06,3.33,22.11,50.06,23.94,1.11,95.06,2.5,1.39,0.94,50.39,236.61,110.56,1.72,2.06,0.22,1.28,0.33,60.39,3.61,5.49,0.39,3.44,1.56,0.28,0.22,0.0,0.0,0.22,0.17,0.0,0.0,0.0,0.0,1148.0,1534.0,74.8,22646.0,9291.0,495.0,538.0,92.0,445.0,567.0,78.5,190.0,385.0,49.4,0.22,0.31,0.26,-0.08,2.94,8.11,2.33,0.67,8.5,85.22,69.56,15.39,3.61,1.06,1.33,7.06,8.78,3.0,0.33,2.39,0.0,63.78,0.28,0.67,1.66,0.22,0.07,0.5,0.05,0.2,0.5,66.7,0.28,0.0,0.0,0.28,0.33,0.0,1.28,1.06,0.0,0.0,7.67,0.44,0.22,1.56,1.06,0.44,0.06,1.11,3.72,2.61,0.72,0.06,2.83,2.17,0.22,29.9,1,1,0,0,0,0
33,73.0,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30.0,1994.0,27.0,22.0,1770,19.7,0.15,0.2,0.15,0.2,0.23,0.33,0.23,0.33,47.0,21.0,44.7,20.0,42.6,47.51,1.12,6.35,19.85,21.98,3.86,47.51,2.39,1.07,1.02,30.3,205.28,104.06,3.65,1.93,0.96,1.37,1.07,33.86,7.56,2.44,0.2,1.88,0.05,0.15,0.3,0.05,0.0,0.1,0.05,0.0,0.05,0.0,0.0,606.0,731.0,82.9,8196.0,1707.0,377.0,418.0,90.2,186.0,225.0,82.7,19.0,36.0,52.8,0.05,0.1,0.1,-0.05,1.07,1.88,1.02,0.15,3.76,37.11,36.5,0.46,0.1,0.25,0.0,1.12,0.3,0.05,0.0,0.0,0.0,30.76,0.15,0.76,1.98,0.51,0.08,0.3,0.11,-1.4,-1.4,45.5,0.05,0.0,0.0,0.76,1.12,0.41,0.41,1.12,0.0,0.0,4.67,0.25,0.3,1.68,0.56,0.76,0.36,0.56,1.37,0.81,1.37,0.1,2.08,0.56,0.0,40.7,1,1,0,0,0,0
39,97.0,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27.0,1996.0,27.0,27.0,2429,27.0,0.07,0.15,0.07,0.15,0.04,0.1,0.04,0.1,19.0,11.0,57.9,5.0,26.3,68.52,8.15,33.81,30.81,4.15,1.26,68.52,0.7,0.41,0.19,37.67,206.3,124.93,0.7,0.37,0.0,0.26,0.22,43.93,0.3,1.19,0.11,1.0,0.04,0.0,0.11,0.0,0.04,0.11,0.0,0.0,0.0,0.0,0.0,1247.0,1578.0,79.0,27588.0,10179.0,341.0,393.0,86.8,700.0,767.0,91.3,200.0,382.0,52.4,0.07,0.06,0.05,0.02,0.48,5.11,0.56,0.3,4.3,58.44,54.96,3.22,2.93,0.22,1.07,0.96,0.3,0.0,0.0,0.0,0.0,46.19,0.26,0.63,0.63,0.3,0.12,0.25,0.07,0.8,0.8,62.8,0.15,0.0,0.0,0.93,0.78,0.04,1.11,0.78,0.0,0.0,4.48,2.19,1.3,1.26,0.93,0.3,0.04,0.7,1.04,0.33,1.0,0.63,2.37,4.93,0.04,67.9,1,1,0,0,0,0
41,100.0,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33.0,1990.0,22.0,21.0,1894,21.0,0.14,0.14,0.14,0.14,0.11,0.15,0.11,0.15,16.0,7.0,43.8,9.0,56.3,82.9,3.71,18.9,53.52,10.67,1.24,82.9,0.76,0.33,0.43,63.38,296.67,122.76,0.76,1.57,0.05,1.14,0.62,59.57,1.14,1.9,0.14,1.57,0.05,0.0,0.0,0.19,0.1,0.05,0.0,0.0,0.0,0.1,0.0,1233.0,1486.0,83.0,20439.0,5696.0,579.0,663.0,87.3,501.0,568.0,88.2,93.0,156.0,59.6,0.0,0.04,0.1,-0.04,0.71,6.57,0.33,0.05,6.57,70.76,68.1,2.38,2.33,0.24,0.86,0.71,0.05,0.0,0.0,0.0,0.0,58.71,0.29,1.1,0.81,0.33,0.18,0.43,0.14,0.7,0.7,62.8,0.29,0.0,0.0,1.9,1.67,0.05,1.14,1.95,0.0,0.0,7.29,2.33,1.38,3.57,1.57,1.76,0.24,1.62,3.19,1.57,1.29,0.19,4.71,2.24,0.0,50.7,1,0,0,0,1,0
42,102.0,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,29.0,1994.0,18.0,10.0,969,10.8,0.09,0.19,0.09,0.19,0.05,0.11,0.05,0.11,4.0,2.0,50.0,1.0,25.0,89.54,3.33,18.7,59.54,11.94,0.56,89.54,0.37,0.19,0.09,47.41,216.57,114.35,0.93,1.67,0.0,0.74,0.37,67.13,0.74,1.58,0.19,1.3,0.0,0.0,0.09,0.09,0.09,0.19,0.0,0.0,0.0,0.0,0.0,799.0,887.0,90.1,11862.0,3953.0,466.0,489.0,95.3,277.0,310.0,89.4,38.0,54.0,70.4,0.09,0.06,0.08,0.03,0.56,5.74,0.46,0.09,4.72,82.13,79.72,2.22,2.04,0.19,0.19,0.37,0.19,0.0,0.0,0.0,0.0,73.98,0.19,0.46,0.74,0.28,0.13,0.33,0.06,0.5,0.5,46.4,0.19,0.0,0.0,1.2,0.74,0.0,1.02,0.83,0.0,0.0,6.48,1.2,1.39,1.39,0.28,0.74,0.37,0.46,1.02,0.56,0.93,0.28,2.41,1.3,0.0,45.5,1,0,0,0,0,1
43,107.0,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,27.0,1996.0,25.0,24.0,2173,24.1,0.0,0.12,0.0,0.12,0.05,0.08,0.05,0.08,17.0,12.0,70.6,5.0,29.4,92.86,9.05,38.71,50.29,4.48,1.04,92.86,0.71,0.5,0.21,59.5,343.82,189.54,1.33,0.75,0.21,0.91,0.37,65.81,0.5,1.04,0.25,0.79,0.0,0.0,0.17,0.04,0.04,0.21,0.0,0.0,0.04,0.0,0.0,1737.0,1972.0,88.1,30914.0,10758.0,674.0,713.0,94.5,942.0,1011.0,93.2,100.0,194.0,51.5,0.12,0.03,0.05,0.09,0.21,4.9,0.21,0.08,5.39,81.83,78.09,3.57,1.62,0.25,0.29,0.5,1.16,0.0,0.0,0.0,0.0,72.07,0.17,0.58,0.87,0.17,0.0,0.0,0.06,-1.2,-1.2,65.3,0.17,0.0,0.0,0.83,0.83,0.0,1.16,0.75,0.04,0.0,6.18,2.57,1.37,1.12,0.54,0.54,0.04,0.62,1.2,0.58,0.87,0.54,2.28,4.85,0.04,51.7,1,0,0,0,0,1
44,108.0,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33.0,1990.0,15.0,12.0,914,10.2,0.2,0.39,0.2,0.39,0.19,0.25,0.19,0.25,30.0,18.0,60.0,9.0,30.0,27.45,0.39,3.33,11.86,12.65,2.75,27.45,2.94,1.76,0.88,18.63,131.96,69.61,2.75,1.08,1.08,3.92,1.76,21.08,5.39,1.87,0.49,1.27,0.0,0.29,0.0,0.2,0.1,0.39,0.0,0.1,0.0,0.0,0.0,97.0,170.0,57.1,1411.0,376.0,61.0,83.0,73.5,25.0,48.0,52.1,6.0,13.0,46.2,0.2,0.07,0.12,0.13,0.59,0.69,0.49,0.1,1.08,16.67,16.18,0.29,0.1,0.29,0.2,1.27,0.2,0.0,0.0,0.0,0.0,9.51,0.2,1.57,0.98,0.39,0.2,0.5,0.19,0.1,0.1,39.6,0.39,0.0,0.0,1.57,1.76,0.59,0.1,0.39,0.0,0.0,2.94,2.06,3.14,0.78,0.29,0.29,0.2,0.29,0.49,0.2,0.98,0.29,0.88,0.1,0.0,60.0,1,1,0,0,0,0
48,116.0,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25.0,1999.0,20.0,17.0,1608,17.9,0.06,0.06,0.06,0.06,0.08,0.12,0.08,0.12,11.0,8.0,72.7,2.0,18.2,80.78,7.04,32.12,44.8,4.53,1.28,80.78,0.61,0.45,0.11,52.46,284.53,173.24,1.28,0.78,0.11,0.73,0.22,59.83,0.5,0.78,0.06,0.5,0.0,0.06,0.22,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1151.0,1308.0,88.0,21481.0,7905.0,449.0,480.0,93.5,587.0,630.0,93.2,106.0,172.0,61.6,0.0,0.04,0.08,-0.04,0.22,5.64,0.34,0.06,4.92,73.07,67.99,4.64,2.07,0.06,0.73,0.45,2.07,0.0,0.0,0.0,0.0,64.3,0.45,0.34,0.9,0.34,0.06,0.17,0.09,-0.4,-0.4,68.6,0.28,0.0,0.0,1.34,0.5,0.0,0.5,1.01,0.0,0.0,4.47,2.68,1.23,1.28,0.56,0.67,0.06,0.45,0.67,0.22,1.01,0.5,1.79,2.96,0.11,66.7,1,0,1,0,0,0
50,129.0,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,29.0,1994.0,20.0,17.0,1607,17.9,0.06,0.06,0.06,0.06,0.03,0.15,0.03,0.15,7.0,3.0,42.9,3.0,42.9,64.3,2.91,15.31,38.77,10.67,0.22,64.3,0.39,0.17,0.17,32.51,145.31,66.15,0.78,0.39,0.0,0.67,0.34,39.78,0.67,2.86,0.11,1.62,0.95,0.06,0.11,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,786.0,1001.0,78.5,15821.0,4628.0,285.0,326.0,87.4,365.0,417.0,87.5,124.0,226.0,54.9,0.0,0.11,0.12,-0.11,1.51,5.42,1.06,0.34,5.03,55.92,49.16,6.37,3.13,0.17,0.39,3.91,0.06,2.01,1.23,0.67,0.0,43.91,0.39,0.73,1.01,0.34,0.06,0.17,0.03,0.4,0.4,32.3,0.45,0.0,0.0,1.51,1.45,0.0,1.28,1.34,0.0,0.0,6.7,0.56,1.17,1.79,0.5,0.95,0.34,1.01,2.07,1.06,0.61,0.06,3.07,2.12,0.0,48.6,1,0,0,0,0,1
