,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked,Matches
19,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,239,225,13,5,0,1,7,1,7,0,4,0,205,1,5,Matches
20,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,it Serie A,18,2003,7.4,152,145,7,0,0,2,8,5,0,0,0,0,114,0,4,Matches
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18.0,792,610,179,6,0,5,45,172,1,0,0,0,547,3,16,Matches
22,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4.0,82,49,33,7,0,0,0,0,0,0,0,0,62,0,0,Matches
23,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,996,955,38,30,0,10,5,0,1,0,1,0,836,3,20,Matches
24,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,22,1998,13.7,389,375,11,1,0,1,22,4,4,3,1,0,280,3,22,Matches
25,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,2204,2127,74,69,2,41,1,5,0,0,0,0,1959,3,12,Matches
26,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,42,40,2,0,0,0,3,0,0,0,0,0,30,0,0,Matches
27,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,1728,1445,277,34,4,16,64,242,1,0,1,0,1435,6,27,Matches
28,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,3,2,1,0,0,0,0,1,0,0,0,0,3,0,0,Matches
29,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,de Bundesliga,19,2002,0.7,32,32,0,0,0,0,0,0,0,0,0,0,28,0,0,Matches
30,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,858,826,31,23,0,7,6,8,0,0,0,0,766,1,3,Matches
31,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,412,404,8,8,1,2,6,0,0,0,0,0,339,0,11,Matches
32,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,1567,1531,32,13,1,11,3,19,0,0,0,0,1270,4,9,Matches
33,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,755,600,151,9,1,0,34,142,0,0,0,0,535,4,30,Matches
34,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,20,2001,20.3,1025,811,211,10,1,7,96,172,29,11,16,0,763,3,19,Matches
35,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,892,734,154,6,2,3,17,148,0,0,0,0,627,4,28,Matches
36,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,27,1994,30.4,906,880,24,1,5,10,17,2,0,0,0,0,653,2,16,Matches
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,2013,1944,66,59,1,26,3,7,0,0,0,0,1819,3,10,Matches
38,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,832,672,158,18,1,3,45,140,0,0,0,0,611,2,20,Matches
39,Marley Aké,fr FRA,"FW,MF",Juventus,it Serie A,20,2001,0.9,16,16,0,0,0,0,1,0,0,0,0,0,12,0,1,Matches
40,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,878,836,41,15,1,2,1,26,0,0,0,0,796,1,5,Matches
41,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,55,55,0,0,1,0,6,0,0,0,0,0,45,0,2,Matches
42,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,19,2002,0.6,22,22,0,0,0,0,1,0,0,0,0,0,20,0,0,Matches
43,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,325,320,4,4,0,3,1,0,0,0,0,0,284,1,4,Matches
44,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,106,106,0,0,0,0,0,0,0,0,0,0,89,0,8,Matches
45,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,de Bundesliga,26,1995,17.0,917,742,172,13,0,7,31,159,0,0,0,0,691,3,24,Matches
46,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,1968,1888,74,34,4,2,40,34,3,3,0,0,1788,6,9,Matches
47,Sofiane Alakouch,ma MAR,"DF,MF",Metz,fr Ligue 1,23,1998,1.8,103,90,13,1,0,1,2,12,0,0,0,0,83,0,7,Matches
48,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,572,503,65,29,2,15,64,3,33,14,14,0,398,4,18,Matches
49,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,171,159,12,0,1,1,1,2,0,0,0,0,115,0,9,Matches
50,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,2795,2416,365,96,13,12,121,268,1,0,0,0,2334,14,38,Matches
51,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0,Matches
52,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,1970,1751,211,82,18,9,143,12,104,47,40,0,1626,8,29,Matches
53,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,1560,1502,57,55,0,12,3,1,0,0,0,0,1339,1,12,Matches
54,Marc Albrighton,eng ENG,"FW,DF",Leicester City,eng Premier League,31,1989,12.6,558,452,101,15,2,3,78,48,37,27,6,0,347,5,27,Matches
55,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,175,151,22,0,2,2,1,2,0,0,0,0,123,2,5,Matches
56,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,17.0,1508,1488,18,10,4,17,4,4,1,0,1,0,1340,2,13,Matches
57,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,667,623,43,34,3,16,23,2,7,1,3,0,556,1,13,Matches
58,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,961,899,57,52,0,41,4,2,0,0,0,0,580,5,6,Matches
59,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,26,1995,11.8,329,319,9,3,0,2,97,6,0,0,0,0,193,1,18,Matches
60,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12.0,391,293,98,28,0,1,0,0,0,0,0,0,287,0,0,Matches
61,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,869,827,39,24,2,10,44,2,11,5,5,0,683,3,25,Matches
62,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,2757,2204,548,93,17,69,273,324,131,29,89,0,2039,5,34,Matches
63,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,314,304,9,2,1,0,23,3,0,0,0,0,220,1,12,Matches
64,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36.0,1388,1154,234,62,0,3,0,0,0,0,0,0,1214,0,0,Matches
65,Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,982,912,66,19,1,2,10,10,0,0,0,0,778,4,26,Matches
66,Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,545,524,16,3,1,5,34,4,9,5,1,0,416,5,18,Matches
67,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25,1996,7.3,228,210,17,4,1,1,5,4,0,0,0,0,177,1,6,Matches
68,Dele Alli,eng ENG,"MF,FW",Everton,eng Premier League,25,1996,3.8,157,140,14,3,3,1,1,5,1,0,0,0,114,3,4,Matches
69,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,27,1994,19.1,511,500,8,3,0,2,20,3,0,0,0,0,402,3,19,Matches
70,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,1486,1190,293,27,2,8,149,199,67,38,23,0,1142,3,39,Matches
71,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,799,712,83,12,0,3,27,71,0,0,0,0,531,4,11,Matches
72,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
73,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,1019,966,51,50,0,10,3,1,0,0,0,0,832,2,9,Matches
74,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,1089,925,159,32,6,14,75,93,34,12,16,0,915,5,11,Matches
75,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,4.5,233,230,3,2,1,0,0,1,0,0,0,0,204,0,4,Matches
76,Ibrahim Amadou,fr FRA,"DF,MF",Metz,fr Ligue 1,28,1993,9.0,439,430,9,9,0,5,0,0,0,0,0,0,384,0,2,Matches
77,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,39,31,8,0,0,0,4,8,0,0,0,0,26,0,1,Matches
78,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,1546,1516,28,19,0,2,0,9,0,0,0,0,1399,2,16,Matches
79,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,25,1996,9.8,202,196,5,0,2,0,7,3,1,0,0,0,159,1,9,Matches
80,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,319,272,46,4,0,2,6,42,0,0,0,0,269,1,5,Matches
81,Jordan Amavi,fr FRA,"DF,FW",Marseille,fr Ligue 1,27,1994,1.4,86,69,17,2,0,2,2,15,0,0,0,0,74,0,1,Matches
82,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,29,25,4,4,0,0,0,0,0,0,0,0,20,0,0,Matches
83,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,1133,862,267,18,1,1,24,249,0,0,0,0,887,4,35,Matches
84,Nadiem Amiri,de GER,"MF,FW",Genoa,it Serie A,24,1996,7.6,299,255,41,13,2,0,20,2,12,2,7,0,222,3,3,Matches
85,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,24,1996,4.1,222,209,12,2,0,2,8,3,6,1,5,0,183,1,5,Matches
86,Ethan Ampadu,wls WAL,"MF,DF",Venezia,it Serie A,20,2000,25.4,1165,1037,123,41,4,10,20,80,0,0,0,0,867,5,26,Matches
87,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,716,685,31,31,1,9,6,0,0,0,0,0,645,0,8,Matches
88,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,2351,2252,95,86,3,32,8,5,0,0,0,0,1911,4,11,Matches
89,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,1436,1342,90,6,5,6,86,32,13,8,3,0,1118,4,36,Matches
90,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,14.0,234,227,7,0,0,1,9,1,0,0,0,0,147,0,10,Matches
91,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,2.0,38,32,6,0,0,0,0,0,0,0,0,0,25,0,1,Matches
92,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,535,441,93,5,1,1,21,88,0,0,0,0,350,1,18,Matches
93,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,1766,1705,55,44,4,19,19,11,0,0,0,0,1404,6,33,Matches
94,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,166,131,35,3,1,0,5,32,0,0,0,0,133,0,5,Matches
95,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,1011,987,18,16,8,1,6,2,0,0,0,0,811,6,9,Matches
96,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12.0,785,629,154,23,0,32,46,131,0,0,0,0,590,2,9,Matches
97,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,1516,1201,304,47,0,6,187,205,52,26,9,0,1082,11,20,Matches
98,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,11,8,3,0,0,0,1,3,0,0,0,0,4,0,0,Matches
99,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,407,318,86,8,2,4,57,68,10,4,2,0,285,3,4,Matches
100,Janis Antiste,fr FRA,FW,Spezia,it Serie A,18,2002,8.8,215,195,19,0,1,0,12,6,0,0,0,0,136,1,6,Matches
101,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,1826,1744,80,45,1,20,11,32,0,0,0,0,1541,2,14,Matches
102,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,28,26,2,1,0,0,0,0,0,0,0,0,23,0,0,Matches
103,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33.0,702,675,20,2,4,9,63,16,0,0,0,0,438,7,39,Matches
104,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,27,1994,12.6,253,223,29,1,3,0,29,27,1,0,0,0,153,1,20,Matches
105,Houssem Aouar,dz ALG,"MF,FW",Lyon,fr Ligue 1,23,1998,27.8,1446,1379,64,23,13,10,21,15,10,6,0,0,1243,3,29,Matches
106,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,19,2002,12.0,614,550,61,18,1,18,68,3,38,14,14,0,457,3,14,Matches
107,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,1001,856,141,10,1,0,38,131,0,0,0,0,756,4,18,Matches
108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,29.6,1266,1104,157,88,0,32,116,2,66,28,34,0,933,5,29,Matches
109,Mattia Aramu,it ITA,"MF,FW",Venezia,it Serie A,26,1995,23.3,795,603,184,43,6,6,144,21,66,33,28,0,524,8,24,Matches
110,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,1094,1035,53,44,7,13,9,8,1,0,1,0,916,6,27,Matches
111,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,1555,1509,41,38,0,8,3,3,0,0,0,0,1326,5,8,Matches
112,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,1662,1566,92,47,0,21,7,44,0,0,0,0,1491,4,6,Matches
113,Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,20,2001,0.3,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
114,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1.0,40,23,17,3,0,0,0,0,0,0,0,0,21,0,0,Matches
115,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,73,40,33,0,0,0,2,33,0,0,0,0,49,0,0,Matches
116,Matias Arezo,uy URU,"FW,MF",Granada,es La Liga,18,2002,1.8,38,35,3,1,0,0,4,1,0,0,0,0,18,0,1,Matches
117,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,4.9,218,166,50,1,0,0,15,49,0,0,0,0,153,2,2,Matches
118,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,324,283,40,0,4,1,18,2,0,0,0,0,229,1,6,Matches
119,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,744,701,40,3,3,2,35,8,2,0,1,0,590,3,25,Matches
120,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,1989,29.9,908,851,51,1,4,1,12,9,0,0,0,0,659,6,24,Matches
121,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,1869,1602,255,145,5,40,182,7,102,63,33,1,1453,12,21,Matches
122,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4.0,138,110,28,7,0,0,0,0,0,0,0,0,115,0,0,Matches
123,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,18.4,677,649,28,19,2,2,33,1,7,2,5,0,532,0,13,Matches
124,Arthur,br BRA,FW,Fiorentina,it Serie A,23,1998,8.3,142,126,16,0,1,2,2,0,0,0,0,0,110,0,5,Matches
125,Santiago Arzamendia,py PAR,MF,Cádiz,es La Liga,23,1998,5.2,170,145,21,4,0,1,18,12,5,3,2,0,105,4,4,Matches
126,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,26,1994,17.9,378,372,5,0,4,2,34,4,0,0,0,0,244,1,24,Matches
127,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,1168,1100,63,55,1,4,2,6,0,0,0,0,959,5,24,Matches
128,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6.0,228,166,60,4,0,1,0,0,0,0,0,0,185,2,0,Matches
129,Alejandro Asensio,es ESP,FW,Rayo Vallecano,es La Liga,20,2000,0.1,8,8,0,0,0,1,1,0,0,0,0,0,7,0,0,Matches
130,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,25,1996,19.2,894,809,80,14,0,14,71,16,45,26,3,0,731,5,24,Matches
131,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,2001,0.1,7,6,1,0,0,0,0,1,0,0,0,0,7,0,0,Matches
132,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,2001,8.4,226,215,8,5,0,1,2,2,0,0,0,0,147,3,5,Matches
133,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,de Bundesliga,18,2002,0.1,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
134,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,2002,15.0,779,718,60,36,1,6,29,4,19,9,7,0,638,1,7,Matches
135,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,1987,34.3,1371,1266,97,38,11,17,108,18,32,21,5,0,968,8,47,Matches
136,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21,2000,6.8,383,300,81,4,0,0,21,77,0,0,0,0,306,2,13,Matches
137,Simon Asta,de GER,DF,Greuther Fürth,de Bundesliga,20,2001,8.7,401,308,92,2,0,2,16,90,0,0,0,0,282,1,13,Matches
138,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25,1996,12.7,738,617,120,8,4,2,54,111,1,0,0,0,556,1,17,Matches
139,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,32,1989,11.5,208,204,2,0,2,0,11,1,0,0,0,0,137,2,9,Matches
140,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,32,1989,12.0,238,218,20,0,2,0,5,0,0,0,0,0,176,0,7,Matches
141,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,28.4,1005,698,300,88,0,2,0,0,0,0,0,0,706,7,0,Matches
142,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,26,1994,26.6,1368,1094,271,34,1,3,74,233,4,0,0,0,1050,3,48,Matches
143,Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,fr Ligue 1,24,1997,0.9,14,12,2,0,0,0,0,0,0,0,0,0,11,0,0,Matches
144,Ludwig Augustinsson,se SWE,"DF,FW",Sevilla,es La Liga,27,1994,8.8,551,442,107,7,0,3,47,81,19,0,15,1,437,2,10,Matches
145,Serge Aurier,ci CIV,DF,Villarreal,es La Liga,28,1992,11.2,742,646,94,10,0,2,27,84,0,0,0,0,623,2,12,Matches
146,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,27,1994,20.8,556,526,24,6,2,12,79,8,4,2,1,0,307,6,21,Matches
147,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23,1997,24.2,474,458,12,0,5,0,10,2,0,0,0,0,313,4,17,Matches
148,Ramzi Aya,it ITA,DF,Salernitana,it Serie A,30,1990,1.5,27,20,7,2,0,0,1,5,0,0,0,0,19,0,0,Matches
149,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,29,1991,22.4,754,738,14,3,8,2,74,9,2,0,0,0,576,2,30,Matches
150,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,26,1994,15.0,871,824,43,37,3,12,2,3,0,0,0,0,790,4,2,Matches
151,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,29,1991,25.2,1592,1412,171,36,5,24,31,134,0,0,0,0,1224,9,29,Matches
152,Karim Azamoum,fr FRA,DF,Troyes,fr Ligue 1,31,1990,4.3,148,139,9,2,0,0,1,7,0,0,0,0,102,0,5,Matches
153,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,de Bundesliga,26,1995,4.0,108,103,3,0,3,0,2,0,0,0,0,0,79,2,3,Matches
154,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31,1989,23.0,1787,1627,153,25,1,0,47,128,0,0,0,0,1486,7,31,Matches
155,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,25,1996,21.5,779,760,17,16,0,6,5,1,0,0,0,0,617,2,19,Matches
156,Carlos Bacca,co COL,FW,Granada,es La Liga,34,1986,5.7,99,92,7,0,1,0,4,2,0,0,0,0,62,0,3,Matches
157,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12.0,364,237,125,38,0,0,0,0,0,0,0,0,216,2,0,Matches
158,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,21,2000,10.9,729,718,10,8,0,4,2,2,0,0,0,0,655,1,1,Matches
159,Milan Badelj,hr CRO,MF,Genoa,it Serie A,32,1989,31.6,1575,1522,43,39,4,12,10,4,0,0,0,0,1230,10,28,Matches
160,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24.0,830,542,286,76,0,0,0,0,0,0,0,0,565,2,0,Matches
161,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,20,2001,20.4,1380,1352,27,24,1,15,1,3,0,0,0,0,1212,1,8,Matches
162,Youssouph Badji,sn SEN,"FW,MF",Brest,fr Ligue 1,19,2001,1.5,35,34,1,0,0,0,1,0,0,0,0,0,22,0,1,Matches
163,Miguel Baeza,es ESP,DF,Celta Vigo,es La Liga,21,2000,0.0,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
164,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,0.0,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,Matches
165,Issa Bah,lu LUX,FW,Venezia,it Serie A,19,2002,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
166,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,29,1992,12.2,218,203,15,0,1,0,10,2,0,0,0,0,157,0,10,Matches
167,Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,23,1997,8.5,226,209,16,1,1,3,33,4,11,10,1,0,150,1,8,Matches
168,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27,1994,2.4,85,81,4,4,0,1,0,0,0,0,0,0,68,0,1,Matches
169,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,28,1993,2.0,84,81,3,3,0,1,0,0,0,0,0,0,79,0,0,Matches
170,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,5.7,186,127,58,14,0,1,0,0,0,0,0,0,130,1,0,Matches
171,Nedim Bajrami,al ALB,"MF,FW",Empoli,it Serie A,22,1999,22.8,898,730,163,32,5,4,156,8,97,40,47,0,621,5,31,Matches
172,Cédric Bakambu,cd COD,FW,Marseille,fr Ligue 1,30,1991,4.0,67,62,5,0,0,0,3,1,0,0,0,0,50,0,0,Matches
173,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,3.4,136,132,4,4,0,0,0,0,0,0,0,0,93,0,4,Matches
174,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,26,1994,5.6,304,303,1,1,0,2,1,0,0,0,0,0,269,0,3,Matches
